REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,DEFER_INCOME,LONG_LOAN,MINORITY_EQUITY,MONETARYFUNDS,NET_CURRENT_ASSETS,OTHER_CURRENT_ASSET,PREPAYMENT,RESTRICTED_CASH,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,中长期存款,储备,其他应付款及应计费用,其他非流动资产,发展中及待售物业,可供出售投资,可供出售投资(流动),合营公司权益,商誉,存货,应收帐款,总权益及非流动负债,总资产减总负债合计,指定以公允价值记账之金融资产,指定以公允价值记账之金融资产(流动),无形资产,流动资产其他项目,物业厂房及设备,生产性生物资产,短期存款,职工薪酬及福利(非流动),联营公司权益,融资租赁负债(流动),融资租赁负债(非流动),衍生金融工具-负债(流动),衍生金融工具-资产(流动),贷款及垫款,递延税项负债,递延税项资产,长期应付款,长期应收款,非流动资产其他项目,预缴及应收税项
2011-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2011-12-31 00:00:00,1890270000.0,31504500.0,56708100.0,3686026500.0,3490698600.0,529275600.0,,1669738500.0,434762100.0,6300900.0,5387269500.0,100814400.0,24460093800.0,14258936700.0,10730432700.0,10201157100.0,23193612900.0,11020274100.0,24460093800.0,13729661100.0,819117000.0,13439819700.0,,9747492300.0,2822803200.0,,,,2577068100.0,,1291684500.0,3333176100.0,239434200.0,14258936700.0,,,,2268324000.0,,8739348300.0,126018000.0,,,207929700.0,,,,,,730904400.0,50407200.0,,,31504500.0,
2012-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2012-12-31 00:00:00,1414237500.0,37713000.0,188565000.0,4783265500.0,4236427000.0,3029611000.0,,1703370500.0,50284000.0,6285500.0,1030822000.0,175994000.0,21980393500.0,17027419500.0,7982585000.0,4952974000.0,27272784500.0,5952368500.0,21980393500.0,13997808500.0,999394500.0,16028025000.0,,11238474000.0,2331920500.0,,,,716547000.0,,1288527500.0,2061644000.0,314275000.0,17027419500.0,,,,2269065500.0,,8868840500.0,100568000.0,,,207421500.0,,,,,,773116500.0,119424500.0,,,43998500.0,
2013-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2013-12-31 00:00:00,5188461900.0,54872100.0,40678516800.0,5261624700.0,5334787500.0,14297230500.0,,2774089500.0,347523300.0,6096900.0,4633644000.0,268263600.0,86307716400.0,69102264600.0,31502682300.0,17205451800.0,33002519700.0,67175644200.0,86307716400.0,54805034100.0,49970192400.0,19132072200.0,54872100.0,13864350600.0,6987047400.0,,,,920631900.0,737724900.0,11187811500.0,11023195200.0,5304303000.0,69102264600.0,,,,10852482000.0,,25192390800.0,6804140400.0,,3146000400.0,2530213500.0,,152422500.0,128034900.0,36581400.0,,5023845600.0,256069800.0,914535000.0,749918700.0,1975395600.0,225585300.0
2014-03-31,00288.HK,00288,万洲国际,10372808,003,12-31,2014-03-31 00:00:00,3925039800.0,36912600.0,42873984900.0,4687900200.0,3457480200.0,17490420300.0,,4589466600.0,369126000.0,6152100.0,4712508600.0,159954600.0,90060591900.0,72268718700.0,35282293500.0,17791873200.0,34500976800.0,70466153400.0,90060591900.0,54778298400.0,52674280200.0,19594438500.0,73825200.0,14900386200.0,7081067100.0,,,,2227060200.0,805925100.0,11289103500.0,12574892400.0,5161611900.0,72268718700.0,,,,10938433800.0,,25365108300.0,7794710700.0,,3549761700.0,2583882000.0,,153802500.0,1913303100.0,350669700.0,332213400.0,5143155600.0,375278100.0,916662900.0,,1765652700.0,6152100.0
2014-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2014-06-30 00:00:00,3913180800.0,36916800.0,41285288000.0,5014532000.0,4073153600.0,16870977600.0,,4110070400.0,289181600.0,6152800.0,5131435200.0,276876000.0,89763199200.0,72086204800.0,34547972000.0,17676994400.0,37415176800.0,68548344800.0,89763199200.0,55215227200.0,50871350400.0,21214854400.0,86139200.0,16194169600.0,6915747200.0,,,,990600800.0,886003200.0,11308846400.0,13142380800.0,5303713600.0,72086204800.0,,,,10871997600.0,,25595648000.0,7623319200.0,,3420956800.0,2571870400.0,,147667200.0,1439755200.0,239959200.0,264570400.0,5100671200.0,443001600.0,879850400.0,,1956590400.0,6152800.0
2014-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2014-12-31 00:00:00,5201150000.0,36714000.0,24176169000.0,5629480000.0,5984382000.0,13779988000.0,,3035024000.0,134618000.0,6119000.0,4399561000.0,269236000.0,90071680000.0,70968162000.0,32883506000.0,19103518000.0,68410420000.0,53051730000.0,90071680000.0,57188174000.0,33948212000.0,37019950000.0,55071000.0,31384351000.0,8915383000.0,483401000.0,,,1278871000.0,899493000.0,11105985000.0,11626100000.0,5170555000.0,70968162000.0,,,,10683774000.0,,28037258000.0,6204666000.0,,3604091000.0,2398648000.0,,146856000.0,318188000.0,446687000.0,,5127722000.0,538472000.0,856660000.0,244760000.0,1346180000.0,397735000.0
2015-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2015-06-30 00:00:00,3527547200.0,30568000.0,21244760000.0,5263809600.0,5153764800.0,13315420800.0,,2995664000.0,122272000.0,6113600.0,5514467200.0,305680000.0,85492582400.0,68423411200.0,30384592000.0,17069171200.0,72330001600.0,46695676800.0,85492582400.0,55107990400.0,29626505600.0,38796905600.0,61136000.0,33526982400.0,7556409600.0,,,,1406128000.0,764200000.0,11096184000.0,11194001600.0,4848084800.0,68423411200.0,,,,10631550400.0,,28140900800.0,5471672000.0,,1913556800.0,385156800.0,,146726400.0,165067200.0,6113600.0,,5404422400.0,672496000.0,886472000.0,244544000.0,1736262400.0,562451200.0
2015-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2015-12-31 00:00:00,5272803200.0,58442400.0,21480828800.0,6103984000.0,7383223200.0,15285934400.0,,2928613600.0,110391200.0,6493600.0,3935121600.0,285718400.0,92864973600.0,74299771200.0,33851136800.0,18565202400.0,80949217600.0,49338372800.0,92864973600.0,59013836800.0,30773170400.0,43526600800.0,58442400.0,37416123200.0,8902725600.0,,,,2577959200.0,792219200.0,11694973600.0,11350812800.0,4707860000.0,74299771200.0,43526600800.0,,,11136524000.0,,30351086400.0,5616964000.0,,2857184000.0,409096800.0,,149352800.0,168833600.0,,,5259816000.0,948065600.0,967546400.0,292212000.0,1935092800.0,571436800.0
2016-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2016-06-30 00:00:00,3255919200.0,53049600.0,15503745600.0,5351378400.0,3415068000.0,11127153600.0,,2984040000.0,53049600.0,6631200.0,9363254400.0,603439200.0,91994637600.0,70171358400.0,32950432800.0,21823279200.0,86066344800.0,46285776000.0,91994637600.0,59044204800.0,24462496800.0,45708861600.0,66312000.0,40350852000.0,8554248000.0,,,,3428330400.0,775850400.0,11916266400.0,11604600000.0,5245279200.0,70171358400.0,,,,11292933600.0,,30795292800.0,6737299200.0,,2128615200.0,431028000.0,,152517600.0,46418400.0,99468000.0,,5623257600.0,258616800.0,1001311200.0,311666400.0,1823580000.0,755956800.0
2016-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2016-12-31 00:00:00,5924198000.0,55496000.0,12951379000.0,5008514000.0,7901243000.0,10544240000.0,,2969036000.0,353787000.0,6937000.0,7013307000.0,249732000.0,94419507000.0,71367856000.0,33595891000.0,23051651000.0,92636698000.0,45596901000.0,94419507000.0,60823616000.0,22545250000.0,48822606000.0,55496000.0,43807155000.0,9864414000.0,,,34685000.0,,825503000.0,12375608000.0,11640286000.0,5501041000.0,71367856000.0,48822606000.0,,,11661097000.0,,31417673000.0,6472221000.0,,2101911000.0,430094000.0,,159551000.0,,,,6153119000.0,194236000.0,1123794000.0,326039000.0,2150470000.0,110992000.0
