,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
大华股份(002236.SZ),1.6,0.251,36.5,-14.7,20.8,1.387,31.1,-14.7,13.9,0.698,32.8,-25.4,1.0
上证指数(000001.IDX),-0.0,0.016,11.9,-5.1,14.3,2.394,11.4,-5.1,14.9,1.093,13.7,-10.5,0.539
海康威视(002415.SZ),-4.3,-0.632,25.8,-15.4,6.5,0.683,22.3,-15.4,1.4,0.184,23.5,-17.1,0.661
商汤-W(00020.HK),-12.3,-0.626,53.2,-30.8,37.9,1.48,49.8,-30.8,8.1,0.563,53.0,-33.3,0.394
