,大华股份_收盘,上证指数_收盘,海康威视_收盘,商汤-W_收盘
大华股份_收盘,1.0,0.5393928850510514,0.6605339289886907,0.3942197584339345
上证指数_收盘,0.5393928850510514,1.0,0.5910445155504531,0.48737236052558275
海康威视_收盘,0.6605339289886907,0.5910445155504531,1.0,0.37152433484016784
商汤-W_收盘,0.3942197584339345,0.48737236052558275,0.37152433484016784,1.0
