date,open,high,low,close,volume
2013-12-19,5.7877,5.8393,5.2709,5.2812,199483941.0
2013-12-20,5.2812,5.5086,5.2709,5.2916,49348346.0
2013-12-23,5.3432,5.3949,5.2502,5.2709,35083952.0
2013-12-24,5.3019,5.3226,5.2502,5.2812,7687218.0
2013-12-27,5.2916,5.3226,5.2606,5.2812,9277947.0
2013-12-30,5.3019,5.9323,5.3019,5.674,57029247.0
2013-12-31,5.7566,5.7877,5.6636,5.6946,23911912.0
2014-01-02,5.736,6.6455,5.7256,6.6248,61751000.0
2014-01-03,6.5111,6.9659,6.4181,6.7178,49306881.0
2014-01-06,6.8522,7.1622,6.7592,6.9659,42608265.0
2014-01-07,6.9659,6.9659,6.6248,6.6765,25133206.0
2014-01-08,6.7178,6.9555,6.4801,6.8935,24121417.0
2014-01-09,6.8625,7.0175,6.6765,6.7695,13415034.0
2014-01-10,6.7695,6.8625,6.6145,6.7488,7766690.0
2014-01-13,6.8005,7.3483,6.6558,7.3172,21802811.0
2014-01-14,7.2242,7.3896,7.0485,7.0692,23780865.0
2014-01-15,7.0899,7.3172,6.9245,7.2346,18576350.0
2014-01-16,7.4309,7.4826,7.1519,7.2242,15236472.0
2014-01-17,7.1829,7.3276,7.1209,7.2759,10962211.0
2014-01-20,7.2759,7.3069,7.0795,7.1002,9660481.0
2014-01-21,7.1312,7.4206,7.1312,7.1932,12404835.0
2014-01-22,7.2242,7.2966,6.9969,7.0175,12007500.0
2014-01-23,7.0382,7.1209,6.8212,6.9762,9283010.0
2014-01-24,6.9452,6.9555,6.6765,6.7075,11285724.0
2014-01-27,6.4078,6.7178,6.3457,6.6351,13372861.0
2014-01-28,6.7281,6.8832,6.5628,6.8625,7675951.0
2014-01-29,6.9555,6.9762,6.8005,6.8625,5757151.0
2014-01-30,6.7178,6.8212,6.6455,6.7798,2785774.0
2014-02-04,6.6248,6.6558,6.5318,6.5835,7529474.0
2014-02-05,6.6765,6.7178,6.4594,6.5214,4831389.0
2014-02-06,6.5731,6.6661,6.5111,6.6145,2671737.0
2014-02-07,6.6661,6.9555,6.6248,6.8832,9400669.0
2014-02-10,6.8935,6.9969,6.8005,6.9659,9437663.0
2014-02-11,6.9659,7.0382,6.8728,6.8832,3966000.0
2014-02-12,6.8315,6.9245,6.7075,6.7488,7171258.0
2014-02-13,6.8005,6.8315,6.6971,6.7178,3526400.0
2014-02-14,6.7178,6.8728,6.7178,6.8005,2661262.0
2014-02-17,6.8315,6.9865,6.6868,6.8625,6063750.0
2014-02-18,6.8728,6.8728,6.7281,6.7695,2348750.0
2014-02-19,6.7075,6.8005,6.5938,6.6558,7898577.0
2014-02-20,6.6248,6.7902,6.5938,6.7178,4231250.0
2014-02-21,6.7592,6.7798,6.6661,6.7488,2649091.0
2014-02-24,6.7281,6.7281,6.5938,6.6248,1771200.0
2014-02-25,6.6455,6.7075,6.5008,6.5214,3321845.0
2014-02-26,6.5731,6.6765,6.5214,6.6661,2548500.0
2014-02-27,6.6661,6.8005,6.6351,6.7488,3448750.0
2014-02-28,6.7695,6.7695,6.5421,6.5731,5819584.0
2014-03-03,6.5731,6.5835,6.4491,6.5111,4286369.0
2014-03-04,6.5008,6.6765,6.4698,6.5835,2493964.0
2014-03-05,6.6145,6.6351,6.4904,6.5008,1872177.0
2014-03-06,6.5111,6.6971,6.4698,6.6455,4767007.0
2014-03-07,6.7178,6.7281,6.5421,6.5525,3545685.0
2014-03-10,6.4594,6.6558,6.4594,6.6145,3734068.0
2014-03-11,6.5835,6.5938,6.4801,6.5318,3353502.0
2014-03-12,6.5525,6.5525,6.4594,6.5111,5051600.0
2014-03-13,6.5008,6.7178,6.4904,6.5318,6394834.0
2014-03-14,6.5111,6.5421,6.0254,6.0977,13710031.0
2014-03-17,6.0564,6.1184,5.6843,5.7877,14748673.0
2014-03-18,5.86,6.046,5.7773,6.0357,5630176.0
2014-03-19,6.046,6.046,5.891,5.953,2601753.0
2014-03-20,5.9427,5.9634,5.7877,5.8497,4055260.0
2014-03-21,5.8083,5.9427,5.8083,5.891,2405518.0
2014-03-24,5.922,5.9737,5.8393,5.8703,3264303.0
2014-03-25,5.8703,5.922,5.7773,5.8187,2052500.0
2014-03-26,5.8187,5.9323,5.798,5.9013,2248752.0
2014-03-27,5.9427,5.9427,5.7773,5.8497,3833750.0
2014-03-28,5.8497,5.86,5.7566,5.8187,2950500.0
2014-03-31,5.86,6.0254,5.798,5.8807,3826983.0
2014-04-01,5.9427,6.108,5.891,6.0667,3457817.0
2014-04-02,6.0977,6.2011,5.953,6.1597,4053750.0
2014-04-03,6.2114,6.2837,6.0357,6.0977,2612750.0
2014-04-04,6.0977,6.139,6.015,6.0357,1260492.0
2014-04-07,5.9737,6.046,5.953,5.9944,1263747.0
2014-04-08,5.984,6.0357,5.9323,5.9634,2842760.0
2014-04-09,5.9737,6.0254,5.9634,5.9737,1082501.0
2014-04-10,5.9737,6.0047,5.922,5.9427,1157372.0
2014-04-11,5.922,5.953,5.7773,5.7877,2011750.0
2014-04-14,5.8187,5.9117,5.8083,5.86,2582240.0
2014-04-15,5.9013,5.984,5.891,5.9634,3531291.0
2014-04-16,5.9737,6.2217,5.9737,6.2114,6438750.0
2014-04-17,6.2114,6.3044,6.1701,6.3044,2310251.0
2014-04-22,6.2734,6.3354,6.2011,6.3044,1644427.0
2014-04-23,6.2837,6.2837,6.0874,6.0977,1295250.0
2014-04-24,6.077,6.139,6.0564,6.139,2613500.0
2014-04-25,6.077,6.2011,6.015,6.0667,711435.0
2014-04-28,6.0047,6.0047,5.891,5.9117,4148347.0
2014-04-29,5.8807,5.9427,5.8083,5.86,1697988.0
2014-04-30,5.8497,5.984,5.8187,5.891,4633696.0
2014-05-02,5.9634,5.984,5.8807,5.9737,2105000.0
2014-05-05,5.9737,6.0047,5.8703,5.8807,740049.0
2014-05-07,5.9013,5.9013,5.86,5.891,2414500.0
2014-05-08,5.953,5.9737,5.8393,5.891,4104003.0
2014-05-09,5.891,5.9117,5.8393,5.86,547205.0
2014-05-12,5.86,5.9634,5.8083,5.953,907250.0
2014-05-13,5.9634,6.046,5.9323,5.9737,598136.0
2014-05-14,5.9476,6.1563,5.9476,6.125,2427480.0
2014-05-15,6.1145,6.2293,6.0519,6.2085,2140500.0
2014-05-16,6.198,6.198,6.1041,6.1459,705040.0
2014-05-19,5.9789,6.2085,5.9685,5.9685,841500.0
2014-05-20,5.9998,6.0415,5.958,5.9685,612430.0
2014-05-21,5.9998,6.0311,5.9685,5.9789,750803.0
2014-05-22,5.9998,6.0937,5.9998,6.0519,3274103.0
2014-05-23,6.1041,6.198,6.1041,6.1667,2952795.0
2014-05-26,6.2085,6.3128,6.125,6.2711,2347704.0
2014-05-27,6.2711,6.2919,6.1563,6.2606,2636518.0
2014-05-28,6.2711,6.4067,6.2085,6.3545,2213402.0
2014-05-29,6.365,6.365,6.2606,6.2815,2034750.0
2014-05-30,6.2815,6.4798,6.2606,6.4171,4242084.0
2014-06-03,6.4589,6.5215,6.4171,6.4798,2831250.0
2014-06-04,6.4798,6.4902,6.3441,6.365,1355125.0
2014-06-05,6.365,6.3963,6.3232,6.3441,2198732.0
2014-06-06,6.3545,6.438,6.2711,6.3128,1149000.0
2014-06-09,6.365,6.4171,6.2606,6.3754,1361011.0
2014-06-10,6.365,6.3754,6.2711,6.3128,1742677.0
2014-06-11,6.3128,6.3337,6.2293,6.2606,2636266.0
2014-06-12,6.2606,6.3441,6.2606,6.2606,1273000.0
2014-06-13,6.2711,6.438,6.2293,6.438,2134686.0
2014-06-16,6.4485,6.4485,6.2606,6.2606,2128500.0
2014-06-17,6.2606,6.3024,6.2189,6.2502,3234523.0
2014-06-18,6.2293,6.365,6.2293,6.3024,1677861.0
2014-06-19,6.3024,6.3128,6.2398,6.2606,1906000.0
2014-06-20,6.2606,6.3441,6.2502,6.2815,1058945.0
2014-06-23,6.2606,6.3337,6.2189,6.2502,2108769.0
2014-06-24,6.2398,6.2606,6.2189,6.2398,1177841.0
2014-06-25,6.2398,6.2815,6.198,6.2502,1620500.0
2014-06-26,6.2398,6.365,6.2398,6.3232,1862500.0
2014-06-27,6.2711,6.438,6.2711,6.4067,2808512.0
2014-06-30,6.4171,6.4485,6.3545,6.3858,1082500.0
2014-07-02,6.438,6.438,6.3024,6.3128,1738671.0
2014-07-03,6.3337,6.4589,6.3128,6.4485,3695450.0
2014-07-04,6.4485,6.4589,6.365,6.4067,881000.0
2014-07-07,6.4067,6.5945,6.3963,6.5841,2935500.0
2014-07-08,6.5737,6.5945,6.5319,6.5528,1161056.0
2014-07-09,6.5528,6.6258,6.4693,6.6258,2264921.0
2014-07-10,6.6363,6.678,6.5215,6.6258,3761875.0
2014-07-11,6.6154,6.678,6.5319,6.6258,1393750.0
2014-07-14,6.6258,6.6258,6.5737,6.5841,1319000.0
2014-07-15,6.6258,6.751,6.5945,6.751,4257004.0
2014-07-16,6.7719,6.7928,6.6884,6.7719,3402622.0
2014-07-17,6.7719,6.8345,6.6884,6.7302,1385250.0
2014-07-18,6.678,6.678,6.605,6.6154,1594000.0
2014-07-21,6.6258,6.6676,6.605,6.6258,830000.0
2014-07-22,6.6154,6.6467,6.5632,6.6467,1090480.0
2014-07-23,6.6258,6.6884,6.6258,6.678,1224500.0
2014-07-24,6.6884,6.6884,6.6258,6.6676,1900233.0
2014-07-25,6.6884,6.8032,6.6467,6.7928,2232550.0
2014-07-28,6.7928,6.7928,6.6884,6.7302,2633915.0
2014-07-29,6.7302,6.7406,6.6989,6.7302,2443250.0
2014-07-30,6.7197,6.7197,6.6154,6.6258,3391000.0
2014-07-31,6.6258,6.678,6.5528,6.6363,4279000.0
2014-08-01,6.5737,6.6989,6.5319,6.6154,2462120.0
2014-08-04,6.5841,6.6676,6.5841,6.6363,588250.0
2014-08-05,6.6363,6.6571,6.5737,6.6467,1482000.0
2014-08-06,6.6258,6.6676,6.5945,6.6676,2546117.0
2014-08-07,6.6676,6.8137,6.6258,6.8032,4647866.0
2014-08-08,6.7824,6.8137,6.7302,6.8032,1762659.0
2014-08-11,6.845,6.845,6.7719,6.8032,1321500.0
2014-08-12,6.8345,6.8345,6.7719,6.8241,1530000.0
2014-08-13,6.7824,6.8137,6.7302,6.7928,929250.0
2014-08-14,6.8137,6.8137,6.751,6.7824,1528640.0
2014-08-15,6.8345,6.8345,6.7824,6.8137,1019617.0
2014-08-18,6.8241,6.8241,6.3754,6.678,8193500.0
2014-08-19,6.6571,6.6571,6.4693,6.5319,5323237.0
2014-08-20,6.605,6.7093,6.5215,6.678,5138000.0
2014-08-21,6.678,6.9076,6.6363,6.8867,4212168.0
2014-08-22,6.9389,6.9389,6.7406,6.751,1048395.0
2014-08-25,6.7302,6.751,6.6467,6.7197,2264677.0
2014-08-26,6.678,6.7302,6.6363,6.6676,1094250.0
