,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
恒瑞医药(600276.SH),4.6,0.697,28.1,-8.5,8.1,0.588,35.8,-23.8,8.8,0.408,31.5,-23.8,1.0
上证指数(000001.IDX),0.2,0.1,13.4,-7.2,24.8,1.925,24.0,-9.4,10.8,0.619,18.8,-14.7,0.497
百济神州(688235.SH),43.7,3.771,40.5,-10.4,53.4,2.28,46.4,-18.8,80.0,1.564,42.8,-19.7,0.515
复星医药(600196.SH),-3.5,-0.793,18.5,-9.3,12.5,0.898,29.2,-19.6,2.2,0.162,24.7,-19.6,0.471
