,恒瑞医药_收盘,上证指数_收盘,百济神州_收盘,复星医药_收盘
恒瑞医药_收盘,1.0,0.4972556618169961,0.515232666842893,0.4705976330794989
上证指数_收盘,0.4972556618169961,1.0,0.3531744430183351,0.5029817088626282
百济神州_收盘,0.515232666842893,0.3531744430183351,1.0,0.4174112687585423
复星医药_收盘,0.4705976330794989,0.5029817088626282,0.4174112687585423,1.0
