日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-11-13,9.427,9.532,9.74,9.297,34549950,716909424.0,4.61,-0.81,-0.078,0.55
2019-11-14,9.662,9.688,9.792,9.454,22009141,461826832.0,3.55,1.64,0.156,0.35
2019-11-15,9.714,9.532,9.74,9.48,19976656,418686560.0,2.68,-1.61,-0.156,0.32
2019-11-18,9.532,9.401,9.584,9.245,46338899,950963616.0,3.56,-1.37,-0.131,0.74
2019-11-19,9.506,9.792,10.052,9.349,54950983,1168342448.0,7.48,4.16,0.391,0.88
2019-11-20,9.74,9.401,9.818,9.349,46068581,958208672.0,4.79,-3.99,-0.391,0.74
2019-11-21,9.297,9.105,9.297,8.98,49343021,984081296.0,3.37,-3.15,-0.296,0.79
2019-11-22,9.115,9.115,9.245,8.855,30033064,597413344.0,4.28,0.11,0.01,0.48
2019-11-25,9.167,8.98,9.167,8.907,38397583,759460720.0,2.85,-1.48,-0.135,0.62
2019-11-26,9.094,8.98,9.297,8.875,44088078,875030448.0,4.7,0.0,0.0,0.71
2019-11-27,8.865,9.021,9.094,8.865,23076160,456920336.0,2.55,0.46,0.041,0.37
2019-11-28,8.896,8.98,9.115,8.771,18840038,369803696.0,3.81,-0.45,-0.041,0.3
2019-11-29,8.219,7.98,8.396,7.73,127625368,2286311360.0,7.42,-11.14,-1.0,2.05
2019-12-02,7.969,7.99,8.094,7.761,61217985,1082237936.0,4.17,0.13,0.01,0.98
2019-12-03,7.896,7.865,7.907,7.73,34013741,595124896.0,2.22,-1.56,-0.125,0.55
2019-12-04,7.709,7.792,7.834,7.667,25238883,438779520.0,2.12,-0.93,-0.073,0.4
2019-12-05,7.927,7.938,7.99,7.823,20740408,366426336.0,2.14,1.87,0.146,0.33
2019-12-06,7.98,8.042,8.105,7.813,47746065,851557696.0,3.68,1.31,0.104,0.77
2019-12-09,7.969,7.563,8.011,7.459,56548745,969917488.0,6.86,-5.96,-0.479,0.91
2019-12-10,7.511,7.552,7.646,7.407,30915727,522720880.0,3.16,-0.15,-0.011,0.5
2019-12-11,7.552,7.74,7.75,7.532,32596934,561749392.0,2.89,2.49,0.188,0.52
2019-12-12,7.886,8.0,8.021,7.771,38488977,682443648.0,3.23,3.36,0.26,0.62
2019-12-13,8.115,7.959,8.167,7.855,38685216,689049264.0,3.9,-0.51,-0.041,0.62
2019-12-16,7.959,7.875,8.063,7.875,18340284,325173888.0,2.36,-1.06,-0.084,0.29
2019-12-17,7.896,8.261,8.334,7.896,40897480,746933104.0,5.56,4.9,0.386,0.66
2019-12-18,8.417,8.115,8.438,8.063,41029495,745828672.0,4.54,-1.77,-0.146,0.66
2019-12-19,8.125,8.177,8.271,8.115,17640088,321156976.0,1.92,0.76,0.062,0.28
2019-12-20,8.209,8.198,8.334,8.094,24588777,448667056.0,2.94,0.26,0.021,0.39
2019-12-23,8.23,8.396,8.427,8.23,24292070,451784064.0,2.4,2.42,0.198,0.39
2019-12-24,8.386,8.334,8.407,8.302,6668265,123625897.0,1.25,-0.74,-0.062,0.11
2019-12-27,8.427,8.5,8.532,8.282,18874872,352962816.0,3.0,1.99,0.166,0.3
2019-12-30,8.5,8.5,8.542,8.407,22626256,424764000.0,1.59,0.0,0.0,0.36
2019-12-31,8.511,8.375,8.521,8.313,15730186,292793488.0,2.45,-1.47,-0.125,0.25
2020-01-02,8.386,8.427,8.448,8.23,26343034,488954640.0,2.6,0.62,0.052,0.42
2020-01-03,8.552,8.334,8.594,8.282,25610461,475430960.0,3.7,-1.1,-0.093,0.41
2020-01-06,8.282,7.896,8.282,7.823,45993458,824149152.0,5.51,-5.26,-0.438,0.74
2020-01-07,7.917,8.073,8.209,7.896,26998590,487519296.0,3.96,2.24,0.177,0.43
2020-01-08,7.771,8.011,8.105,7.709,23024041,410481568.0,4.91,-0.77,-0.062,0.37
2020-01-09,8.073,8.157,8.188,7.959,31691419,571708400.0,2.86,1.82,0.146,0.51
2020-01-10,8.157,8.063,8.209,8.021,18838319,339278864.0,2.3,-1.15,-0.094,0.3
2020-01-13,8.177,8.073,8.177,7.917,24835091,447047136.0,3.22,0.12,0.01,0.4
2020-01-14,8.146,7.948,8.146,7.865,24625788,437770208.0,3.48,-1.55,-0.125,0.39
2020-01-15,7.907,7.865,7.959,7.709,26805535,469504720.0,3.15,-1.04,-0.083,0.43
2020-01-16,7.855,8.073,8.094,7.823,35285400,629436272.0,3.45,2.64,0.208,0.57
2020-01-17,8.157,8.552,8.782,8.011,88661834,1670142208.0,9.55,5.93,0.479,1.42
2020-01-20,8.698,8.688,8.865,8.521,60703959,1166906512.0,4.02,1.59,0.136,0.97
2020-01-21,8.584,8.594,8.844,8.532,49756643,954098848.0,3.59,-1.08,-0.094,0.8
2020-01-22,8.594,8.844,8.865,8.594,42945736,831618960.0,3.15,2.91,0.25,0.69
