日期,03690.HK_close,03690.HK_volume,03690.HK_turnover
2023-06-05,121.6,29492833.0,
2023-06-06,121.8,23872365.0,
2023-06-07,123.5,20229163.0,
2023-06-08,124.4,20637994.0,
2023-06-09,127.1,27792192.0,
2023-06-12,127.6,17065634.0,
2023-06-13,128.0,24358052.0,
2023-06-14,127.3,18064760.0,
2023-06-15,137.2,52675219.0,
2023-06-16,138.0,71956565.0,
2023-06-19,137.0,23414744.0,
2023-06-20,132.3,21691469.0,
2023-06-21,127.6,25298667.0,
2023-06-23,124.7,16208306.0,
2023-06-26,124.0,18021336.0,
2023-06-27,126.2,16670910.0,
2023-06-28,127.1,16886084.0,
2023-06-29,124.7,18153464.0,
2023-06-30,122.3,22205599.0,
2023-07-03,126.4,18128687.0,
2023-07-04,127.6,12694880.0,
2023-07-05,124.5,12203478.0,
2023-07-06,120.6,22254934.0,
2023-07-07,119.1,19381215.0,
2023-07-10,121.1,14335857.0,
2023-07-11,122.0,12052968.0,
2023-07-12,127.3,26018894.0,
2023-07-13,134.6,46811946.0,
2023-07-14,132.5,25152849.0,
2023-07-18,129.1,17254666.0,
2023-07-19,127.7,21572134.0,
2023-07-20,126.7,15235978.0,
2023-07-21,128.2,14407358.0,
2023-07-24,125.0,16798364.0,
2023-07-25,134.8,41601348.0,
2023-07-26,134.9,17449621.0,
2023-07-27,136.6,23954776.0,
2023-07-28,142.4,40948029.0,
2023-07-31,146.3,48528755.0,
2023-08-01,145.5,26924963.0,
2023-08-02,140.7,25201177.0,
2023-08-03,140.2,13772924.0,
2023-08-04,144.0,19915828.0,
2023-08-07,144.7,11552859.0,
2023-08-08,140.1,20110425.0,
2023-08-09,140.9,10966324.0,
2023-08-10,141.0,12527662.0,
2023-08-11,137.2,17193808.0,
2023-08-14,135.4,16180085.0,
2023-08-15,133.9,11024207.0,
2023-08-16,132.4,10505315.0,
2023-08-17,133.6,16806999.0,
2023-08-18,129.9,17637567.0,
2023-08-21,127.0,21050493.0,
2023-08-22,129.2,23483185.0,
2023-08-23,130.3,16176065.0,
2023-08-24,140.0,42613537.0,
2023-08-25,132.2,43410345.0,
2023-08-28,134.7,24644805.0,
2023-08-29,137.3,20565514.0,
2023-08-30,134.2,24450563.0,
2023-08-31,128.5,42183417.0,
2023-09-04,132.7,42270768.0,
2023-09-05,128.6,20179605.0,
2023-09-06,128.3,20503896.0,
2023-09-07,125.0,24107147.0,
2023-09-11,125.7,23497040.0,
2023-09-12,124.8,15824406.0,
2023-09-13,123.1,13579391.0,
2023-09-14,123.0,14635798.0,
2023-09-15,124.3,22337043.0,
2023-09-18,122.0,13494852.0,
2023-09-19,121.7,21026601.0,
2023-09-20,119.2,18468116.0,
2023-09-21,116.3,25261260.0,
2023-09-22,120.8,24610941.0,
2023-09-25,117.2,19533949.0,
2023-09-26,116.3,18430577.0,
2023-09-27,114.8,32223497.0,
2023-09-28,110.8,45106314.0,
2023-09-29,114.6,19167952.0,
2023-10-03,110.0,25231513.0,
2023-10-04,106.9,22890772.0,
2023-10-05,105.9,16875152.0,
2023-10-06,108.3,14467080.0,
2023-10-09,108.9,18733292.0,
2023-10-10,112.3,32929871.0,
2023-10-11,116.5,35533689.0,
2023-10-12,118.4,23289955.0,
2023-10-13,114.6,24256165.0,
2023-10-16,113.7,17292685.0,
2023-10-17,114.5,11089439.0,
2023-10-18,113.7,18746586.0,
2023-10-19,110.4,23721099.0,
2023-10-20,107.8,26300972.0,
2023-10-24,107.5,32208971.0,
2023-10-25,109.6,28410868.0,
2023-10-26,109.8,17363252.0,
2023-10-27,113.0,21965604.0,
2023-10-30,114.0,20470904.0,
2023-10-31,110.6,17728879.0,
2023-11-01,109.0,15437450.0,
2023-11-02,108.0,23363522.0,
2023-11-03,111.0,27757555.0,
2023-11-06,117.2,39276922.0,
2023-11-07,115.5,18753172.0,
2023-11-08,115.0,18691337.0,
2023-11-09,115.0,11629715.0,
2023-11-10,110.7,20602660.0,
2023-11-13,111.6,24889362.0,
2023-11-14,108.3,21343531.0,
2023-11-15,113.3,33797257.0,
2023-11-16,111.7,25049103.0,
2023-11-17,107.3,28968535.0,
2023-11-20,109.0,31587831.0,
2023-11-21,110.5,34164065.0,
2023-11-22,111.4,18106009.0,
2023-11-23,112.2,20531919.0,
2023-11-24,109.1,17937066.0,
2023-11-27,108.6,19162668.0,
2023-11-28,103.0,70295663.0,
2023-11-29,90.45,207480684.0,
2023-11-30,90.6,64543444.0,
2023-12-01,87.9,101718394.0,
2023-12-04,86.45,54326852.0,
2023-12-05,84.65,56576963.0,
2023-12-06,86.4,37426397.0,
2023-12-07,86.1,42729794.0,
2023-12-08,86.65,49376170.0,
2023-12-11,83.5,39284636.0,
2023-12-12,84.6,26096513.0,
2023-12-13,82.2,36705341.0,
2023-12-14,81.75,26137737.0,
2023-12-15,84.95,61429877.0,
2023-12-18,83.15,28002417.0,
2023-12-19,78.45,93956024.0,
2023-12-20,78.8,41943164.0,
2023-12-21,79.7,35084557.0,
2023-12-22,76.6,48774861.0,
2023-12-27,78.3,27957023.0,
2023-12-28,82.35,49732197.0,
2023-12-29,81.9,24613929.0,
2024-01-02,79.4,22897005.0,
2024-01-03,78.0,21074008.0,
2024-01-04,77.5,24609222.0,
2024-01-05,77.75,19320699.0,
2024-01-08,73.95,32722832.0,
2024-01-09,70.55,52400400.0,
2024-01-10,71.75,45733628.0,
2024-01-11,75.6,56259716.0,
2024-01-12,75.25,34751944.0,
2024-01-15,75.65,34093032.0,
2024-01-16,73.9,42021462.0,
2024-01-17,68.75,70999330.0,
2024-01-18,69.8,60041641.0,
2024-01-19,68.65,40400550.0,
2024-01-22,65.4,61089885.0,
2024-01-23,66.3,65894453.0,
2024-01-24,70.3,61021190.0,
2024-01-25,69.4,44747046.0,
2024-01-26,66.7,37208078.0,
2024-01-29,67.3,27797193.0,
2024-01-30,65.4,28952811.0,
2024-01-31,62.55,41410699.0,
2024-02-01,64.1,31904342.0,
2024-02-02,63.25,35526659.0,
2024-02-05,65.05,44622116.0,
2024-02-06,69.25,57567225.0,
2024-02-07,68.25,47795239.0,
2024-02-08,68.15,29755332.0,
2024-02-09,67.3,7218799.0,
2024-02-14,71.1,26359051.0,
2024-02-15,71.35,21096630.0,
2024-02-16,74.65,31111357.0,
2024-02-19,72.75,39524524.0,
2024-02-20,73.4,21163619.0,
2024-02-21,77.0,62086475.0,
2024-02-22,79.75,41887709.0,
2024-02-23,81.5,49886870.0,
2024-02-26,81.15,30721936.0,
2024-02-27,81.65,46228362.0,
2024-02-28,78.35,39805027.0,
2024-02-29,79.8,45596242.0,
2024-03-01,88.4,112823802.0,
2024-03-04,91.5,80510164.0,
2024-03-05,86.35,54549058.0,
2024-03-06,88.7,44220022.0,
2024-03-07,85.4,55120852.0,
2024-03-08,84.7,25732322.0,
2024-03-11,89.2,32784520.0,
2024-03-12,93.4,65843507.0,
2024-03-13,94.35,52081620.0,
2024-03-14,92.9,29698359.0,
2024-03-15,89.4,60598885.0,
2024-03-18,90.4,30006515.0,
2024-03-19,89.2,22526449.0,
2024-03-20,88.8,23666436.0,
2024-03-21,92.3,37444742.0,
2024-03-22,88.25,40590379.0,
2024-03-25,93.3,87057189.0,
2024-03-26,93.4,36035734.0,
2024-03-27,91.1,32797948.0,
2024-03-28,96.8,68225499.0,
2024-04-02,101.4,47901184.0,
2024-04-03,98.95,25820529.0,
2024-04-05,100.4,23113479.0,
2024-04-08,99.4,23724590.0,
2024-04-09,99.7,20265683.0,
2024-04-10,103.8,36264390.0,
2024-04-11,104.5,29968182.0,
2024-04-12,102.1,25336583.0,
2024-04-15,101.6,23691075.0,
2024-04-16,98.7,32570899.0,
2024-04-17,97.55,23341654.0,
2024-04-18,97.75,25433968.0,
2024-04-19,95.3,43757725.0,
2024-04-22,100.6,34032651.0,
2024-04-23,108.6,67329893.0,
2024-04-24,113.6,75120018.0,
2024-04-25,111.5,41607467.0,
2024-04-26,115.6,58244146.0,
2024-04-29,111.4,58947214.0,
2024-04-30,109.5,31352217.0,
2024-05-02,119.1,54349618.0,
2024-05-03,119.7,47271453.0,
2024-05-06,120.3,49035480.0,
2024-05-07,115.5,42001964.0,
2024-05-08,113.5,30580670.0,
2024-05-09,117.9,38108570.0,
2024-05-10,118.6,27327103.0,
2024-05-13,122.3,35200441.0,
2024-05-14,121.9,38288586.0,
2024-05-16,125.6,42701385.0,
2024-05-17,125.0,31704186.0,
2024-05-20,124.0,28982420.0,
2024-05-21,121.4,29710345.0,
2024-05-22,120.6,19562007.0,
2024-05-23,119.5,24699425.0,
2024-05-24,116.3,26306133.0,
2024-05-27,118.7,21389207.0,
2024-05-28,119.0,15835259.0,
2024-05-29,112.7,41575906.0,
2024-05-30,108.9,49115730.0,
2024-05-31,105.1,70686575.0,
2024-06-03,109.0,32263292.0,
2024-06-04,113.5,36668490.0,
2024-06-05,112.6,28629666.0,
2024-06-06,112.7,37302723.0,
2024-06-07,110.4,73605024.0,
2024-06-11,115.3,72840707.0,
2024-06-12,112.6,33337950.0,
2024-06-13,116.7,37711546.0,
2024-06-14,114.7,37941208.0,
2024-06-17,116.8,28862165.0,
2024-06-18,115.0,28072090.0,
2024-06-19,121.4,35696099.0,
2024-06-20,119.9,20924768.0,
2024-06-21,116.2,40576486.0,
2024-06-24,115.4,26037487.0,
2024-06-25,116.8,24626406.0,
2024-06-26,117.0,18098098.0,
2024-06-27,113.7,27528943.0,
2024-06-28,111.1,28512066.0,
2024-07-02,112.2,27443010.0,
2024-07-03,117.1,31244921.0,
2024-07-04,119.7,35834785.0,
2024-07-05,119.1,23440790.0,
2024-07-08,117.0,17430565.0,
2024-07-09,114.7,32986108.0,
2024-07-10,114.9,30789640.0,
2024-07-11,116.1,25270801.0,
2024-07-12,121.8,42746740.0,
2024-07-15,119.1,20533862.0,
2024-07-16,117.5,18714084.0,
2024-07-17,119.1,23222975.0,
2024-07-18,119.4,22116025.0,
2024-07-19,117.5,29688510.0,
2024-07-22,121.3,30662005.0,
2024-07-23,118.1,28762101.0,
2024-07-24,113.3,42947253.0,
2024-07-25,107.1,52401441.0,
2024-07-26,107.6,27148879.0,
2024-07-29,108.4,17136896.0,
2024-07-30,106.4,17955125.0,
2024-07-31,109.3,21711841.0,
2024-08-01,109.2,15275269.0,
2024-08-02,104.0,40365144.0,
2024-08-05,106.8,41740738.0,
2024-08-06,105.6,24808382.0,
2024-08-07,106.0,20383337.0,
2024-08-08,104.6,25310352.0,
2024-08-09,106.2,19633016.0,
2024-08-12,104.0,22028432.0,
2024-08-13,103.4,24773088.0,
2024-08-14,102.1,14885295.0,
2024-08-15,102.4,23016192.0,
2024-08-16,107.7,37261404.0,
2024-08-19,108.7,17188364.0,
2024-08-20,108.1,14669733.0,
2024-08-21,107.7,15349800.0,
2024-08-22,109.0,18083963.0,
2024-08-23,107.5,16679813.0,
2024-08-26,109.0,18754675.0,
2024-08-27,106.2,42738256.0,
2024-08-28,102.8,43855211.0,
2024-08-29,115.7,88880692.0,
2024-08-30,118.2,74886388.0,
2024-09-02,116.3,27217094.0,
2024-09-03,118.9,19616696.0,
2024-09-04,119.2,27521023.0,
2024-09-05,119.3,24972705.0,
2024-09-09,118.6,38187905.0,
2024-09-10,118.9,21838708.0,
2024-09-11,119.4,23022020.0,
2024-09-12,122.3,41248772.0,
2024-09-13,123.0,28574247.0,
2024-09-16,126.5,21336151.0,
2024-09-17,128.6,17621881.0,
2024-09-19,133.8,53919649.0,
2024-09-20,135.9,60241060.0,
2024-09-23,132.8,37934059.0,
