,北方华创_收盘,上证指数_收盘,中微公司_收盘,盛美上海_收盘
北方华创_收盘,1.0,0.44470696516389013,0.7543716961415035,0.67905745904362
上证指数_收盘,0.44470696516389013,1.0,0.48692382630644065,0.5289330990535985
中微公司_收盘,0.7543716961415035,0.48692382630644065,1.0,0.7151274110678562
盛美上海_收盘,0.67905745904362,0.5289330990535985,0.7151274110678562,1.0
