,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
北方华创(002371.SZ),16.6,1.69,43.9,-16.0,44.1,2.049,39.6,-16.0,47.8,1.294,36.6,-16.0,1.0
上证指数(000001.IDX),-0.0,0.016,11.9,-5.1,14.3,2.394,11.4,-5.1,14.9,1.093,13.7,-10.5,0.445
中微公司(688012.SH),26.8,2.074,56.8,-18.7,59.0,2.103,50.7,-18.7,26.4,0.794,43.4,-23.9,0.754
盛美上海(688082.SH),13.9,1.131,55.5,-23.5,54.2,1.899,57.2,-23.5,49.8,1.132,46.5,-23.5,0.679
