,思源电气_收盘,上证指数_收盘,国电南瑞_收盘,许继电气_收盘
思源电气_收盘,1.0,0.3005494198029004,0.37326534794140837,0.4456094025269217
上证指数_收盘,0.3005494198029004,1.0,0.41389861940076345,0.41755596997126376
国电南瑞_收盘,0.37326534794140837,0.41389861940076345,1.0,0.6197594619036074
许继电气_收盘,0.4456094025269217,0.41755596997126376,0.6197594619036074,1.0
