,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
思源电气(002028.SZ),56.6,3.832,50.1,-11.0,100.2,3.1,47.3,-11.0,92.9,1.867,39.8,-14.2,1.0
上证指数(000001.IDX),0.4,0.11,11.9,-5.1,14.4,2.429,11.4,-5.1,13.9,1.095,13.7,-10.5,0.301
国电南瑞(600406.SH),3.7,0.521,23.8,-12.9,4.2,0.448,21.8,-12.9,-6.0,-0.17,21.4,-14.0,0.373
许继电气(000400.SZ),13.9,1.466,39.4,-14.7,28.5,1.498,35.1,-14.7,-1.3,0.155,32.7,-28.5,0.446
