,盐湖股份_收盘,上证指数_收盘,天齐锂业_收盘,赣锋锂业_收盘
盐湖股份_收盘,1.0,0.5869534898585431,0.7398257111634097,0.7410249358160671
上证指数_收盘,0.5869534898585431,1.0,0.5363696090185349,0.5448335284166043
天齐锂业_收盘,0.7398257111634097,0.5363696090185349,1.0,0.9048442557309726
赣锋锂业_收盘,0.7410249358160671,0.5448335284166043,0.9048442557309726,1.0
