,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
盐湖股份(000792.SZ),50.4,3.599,46.8,-11.2,71.0,3.038,39.3,-11.2,75.3,1.862,32.2,-12.2,1.0
上证指数(000001.IDX),3.7,1.242,11.7,-5.1,14.9,2.512,11.2,-5.1,17.0,1.224,13.5,-9.7,0.587
天齐锂业(002466.SZ),35.3,2.071,63.5,-21.2,84.3,2.444,56.3,-21.2,64.5,1.238,46.0,-23.1,0.74
赣锋锂业(002460.SZ),29.0,2.012,62.8,-20.8,105.6,2.875,57.0,-20.8,84.7,1.495,46.6,-23.6,0.741
