,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
特变电工(600089.SH),61.4,3.333,60.3,-19.3,107.4,3.206,49.5,-19.3,89.6,1.867,38.6,-19.3,1.0
上证指数(000001.IDX),2.2,0.606,11.9,-4.8,14.3,2.452,11.2,-4.8,14.7,0.949,13.7,-9.7,0.517
中国西电(601179.SH),40.6,2.601,58.5,-25.1,48.1,1.868,47.3,-25.1,20.6,0.656,39.5,-25.1,0.715
思源电气(002028.SZ),63.6,4.29,48.5,-11.0,109.8,3.372,46.6,-11.0,111.2,2.106,39.8,-14.2,0.371
