日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-11-28,159.01,34.33,3.15,1.96,0.36,49.43
2025-12-01,195.69,43.58,3.87,1.97,0.33,51.95
2025-12-02,114.03,24.84,2.26,-2.11,0.26,49.08
2025-12-03,113.03,24.51,2.24,-1.10,0.18,47.63
2025-12-04,91.71,19.64,1.81,-0.09,0.12,47.50
2025-12-05,153.93,33.66,3.05,2.28,0.11,50.92
2025-12-08,154.22,34.09,3.05,0.77,0.12,52.09
2025-12-09,199.81,44.57,3.95,1.08,0.14,53.76
2025-12-10,153.98,33.64,3.05,-1.88,0.12,50.44
2025-12-11,284.97,64.54,5.64,1.64,0.13,53.11
2025-12-12,408.27,95.38,8.08,6.58,0.26,62.09
