,特变电工_收盘,上证指数_收盘,中国西电_收盘,思源电气_收盘
特变电工_收盘,1.0,0.5168381430509097,0.715398875375521,0.3705235456713324
上证指数_收盘,0.5168381430509097,1.0,0.5694599934840919,0.3852141352388963
中国西电_收盘,0.715398875375521,0.5694599934840919,1.0,0.37334100252111574
思源电气_收盘,0.3705235456713324,0.3852141352388963,0.37334100252111574,1.0
