,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
汇川技术(300124.SZ),-6.3,-1.079,33.4,-21.7,16.0,1.075,32.5,-21.7,22.9,0.726,37.2,-21.7,1.0
上证指数(000001.IDX),2.2,0.606,11.9,-4.8,14.3,2.452,11.2,-4.8,14.7,0.949,13.7,-9.7,0.557
埃斯顿(002747.SZ),-11.2,-1.308,33.3,-17.5,9.0,0.635,34.5,-17.5,12.1,0.427,44.7,-37.0,0.648
英威腾(002334.SZ),-6.9,-0.936,33.6,-17.6,11.8,0.826,33.9,-21.5,15.0,0.474,43.5,-33.0,0.452
