,汇川技术_收盘,上证指数_收盘,埃斯顿_收盘,英威腾_收盘
汇川技术_收盘,1.0,0.5571137415786804,0.6478355308288494,0.45186478577373945
上证指数_收盘,0.5571137415786804,1.0,0.5147791116145478,0.5182886438058321
埃斯顿_收盘,0.6478355308288494,0.5147791116145478,1.0,0.568290639352253
英威腾_收盘,0.45186478577373945,0.5182886438058321,0.568290639352253,1.0
