,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
比亚迪(002594.SZ),-5.3,-1.287,22.0,-16.2,-10.0,-1.032,24.3,-18.7,10.4,0.447,33.2,-30.5,1.0
上证指数(000001.IDX),3.7,1.242,11.7,-5.1,14.9,2.512,11.2,-5.1,17.0,1.224,13.5,-9.7,0.53
宁德时代(300750.SZ),1.7,0.312,37.1,-12.7,48.7,2.135,40.1,-12.7,44.1,1.179,36.8,-23.3,0.609
比亚迪电子(00285.HK),-19.5,-2.005,39.2,-28.3,7.0,0.456,44.1,-28.3,-14.2,0.016,58.5,-52.7,0.473
