,比亚迪_收盘,上证指数_收盘,宁德时代_收盘,比亚迪电子_收盘
比亚迪_收盘,1.0,0.5303435143429339,0.6091777660274619,0.4726054351488067
上证指数_收盘,0.5303435143429339,1.0,0.5437052630438677,0.45434704018897654
宁德时代_收盘,0.6091777660274619,0.5437052630438677,1.0,0.31694640697320914
比亚迪电子_收盘,0.4726054351488067,0.45434704018897654,0.31694640697320914,1.0
