日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-12-12,55.46,53.90,1.59,0.80,-0.85,49.69
2025-12-15,29.33,28.24,0.84,-1.51,-0.83,43.79
2025-12-16,25.88,24.50,0.74,-1.34,-0.92,39.40
2025-12-17,27.28,25.84,0.78,1.02,-0.89,43.94
2025-12-18,25.28,23.76,0.72,-1.76,-1.00,38.50
2025-12-19,27.21,25.73,0.78,0.75,-1.01,41.73
2025-12-22,20.62,19.52,0.59,0.15,-1.00,42.39
2025-12-23,23.66,22.48,0.68,0.47,-0.94,44.49
2025-12-24,19.28,18.19,0.55,-0.41,-0.92,42.99
2025-12-25,18.22,17.26,0.52,0.45,-0.86,45.14
2025-12-26,102.10,101.79,2.93,5.45,-0.39,63.39
