REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,DEFER_INCOME,DEFER_INCOME_1YEAR,LONG_LOAN,MINORITY_EQUITY,MONETARYFUNDS,NET_CURRENT_ASSETS,PREPAYMENT,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,UNASSIGN_RPOFIT,储备,其他应付款及应计费用,其他权益,其他非流动负债,其他非流动资产,可供出售投资,可转换可赎回优先股,可转换票据及债券,合营公司权益,固定资产,在建工程,存货,应付关联方款项(流动),应付票据,应付股利,应收关联方款项,应收帐款,应收票据,总权益及非流动负债,总资产减总负债合计,拟派股息,拨备(流动),拨备(非流动),指定以公允价值记账之金融资产,无形资产,流动负债其他项目,流动资产其他项目,物业厂房及设备,短期存款,职工薪酬及福利(非流动),联营公司权益,股东权益其他项目,衍生金融工具-负债,衍生金融工具-负债(流动),衍生金融工具-资产,衍生金融工具-资产(流动),证券投资,递延税项负债,递延税项负债(流动),递延税项资产,长期应付款,非流动负债其他项目,非流动资产其他项目,非运算项目,预缴及应收税项
2000-03-31,00992.HK,00992,联想集团,10009194,001,3-31,1999-12-31 00:00:00,2062821709.3,,,,11175232.2,2319075548.9,2784741071.2,375282933.3,196816411.0,2443318.9,2997506.6,8595060849.1,5522304920.0,5857497000.3,3072755929.1,10733649909.400002,3222648278.3,8595060849.1,2737563848.8,149892349.2,5372412570.8,,5164420927.6,660965097.1,,,,,,,,535119813.8,59318294.2,1879450466.3,,,142014587.0,,1283688051.8,,5522304920.0,,,,,,2008106045.0,201513710.2,,,,,45407225.6,,,,,,89612470.2,,,,149892349.2,,,,
2001-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2000-12-31 00:00:00,2418722565.6,,,,79029721.2,2795357171.4,3015604039.8,440525578.8,199382928.6,,12547870.8,8520911770.2,4217465470.2,7319050339.8,4303446300.0,8321696542.8,4320548638.2,8520911770.2,1201861430.4,17102338.2,4200363132.0,,5054327361.6,1005320931.0,,,,,,,,761636227.8,212263017.6,2230120276.8,,,,,1853047312.8,,4217465470.2,,1050499422.0,,,,,866854932.6,,,,,136963056.0,-2182876301.4,,,,,90999129.0,,,,17102338.2,,,,
2001-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2001-06-30 00:00:00,1973960939.7,,,,29529873.9,2220040042.5,2286477754.2,294465657.6,199311015.3,,10636096.5,6207769646.1,3504713035.5,4989534364.8,2703056610.6,6952555016.700001,2716727200.8,6207769646.1,1218235281.3,13670590.2,3491042445.3,-1744493649.6,5006695205.7,714617436.9,,,,,,,,729900135.0,294965930.4,1051862778.3,,,,,1423165886.4,,3504713035.5,,,,,,,3842137.5,,,,,165669789.3,,,,,,27699426.6,,,,13670590.2,,,,
2002-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2001-12-31 00:00:00,1222218950.0,,,,7480050.0,2590080309.0,2495718152.0,196699851.0,199150761.0,,2367091.0,6038932957.0,3914468254.0,4620182855.0,2124464703.0,7820756198.0,2124814833.0,6038932957.0,1418750102.0,350130.0,3914118124.0,,3707487313.0,703826021.0,,,,,,,223268352.0,899002276.0,46541826.0,907705659.0,,196052641.0,,205974052.0,701041957.0,18681027.0,3914468254.0,,,,,,,,,,,,217299166.0,,,,,,32638482.0,350130.0,,,,,,,
2002-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2002-06-30 00:00:00,1856711861.3,,,,71726655.4,2949541525.0,2730376508.9,218136137.1,199058386.9,,6459663.0,7331608252.9,4220251639.4,5841733122.4,3111356613.5,8368076561.4,3111706644.5,7331608252.9,1489875130.5,350031.0,4219901608.4,,5049105954.8,993929995.7,,,,,,,212243948.6,900046378.0,84904792.2,1065789238.6,,254255093.5,,114322246.0,1191162917.9,302781057.8,4220251639.4,,143322844.7,,,,79926927.1,,,,,,179817288.9,-1243312233.4,,,,,32935795.7,350031.0,,,,,,,
2003-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2002-12-31 00:00:00,1685697415.2,,,,63391175.1,,2901096210.6,240602302.8,198355667.4,,8713753.2,7168362915.6,4508180971.2,5561278155.0,2660181944.4,8952270441.3,2660532107.4,7168362915.6,1607084760.6,350163.0,4507830808.2,,4246083965.7,669319596.9,,,,,,,210680343.9,897665133.6,184777831.8,1346590016.1,,296451179.1,,,587335827.6,406838473.2,4508180971.2,,,,,,127990943.1,,2979911535.3,,,,107821554.3,,,,,,78148953.9,350163.0,,,,,,,
2003-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2003-06-30 00:00:00,1906465745.7,,,,48082046.4,2257285851.0,2634694875.0,293757929.1,199460156.4,,5478242.4,7748127781.2,4438330335.9,5944492320.3,3309797445.3,8828578625.4,3309797445.3,7748127781.2,1803635460.9,,4438330335.9,,4190788133.1,936188680.5,,,,,,,197552172.6,943613365.5,281729939.4,1371481403.4,,461664776.7,,,1389090192.3,632876944.5,4438330335.9,,,,,,165414503.7,,,,,,108295707.6,,,,,,93390786.0,,,13638986.1,,,,,
2004-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2003-12-31 00:00:00,2287377499.8,,,,31130862.0,,2974531044.0,320025898.2,198365046.0,58857814.2,5339903.4,8854242317.4,5354339501.4,6474433860.0,3499902816.0,9559794169.2,4058779801.8,8854242317.4,2379808457.4,558876985.8,4795462515.6,,4565966607.6,654774475.8,,,,,,,131745213.6,1047890500.8,276364147.8,1478549305.2,115131119.4,378422003.4,,,1306523961.6,552268709.4,5354339501.4,,,,,,686710940.4,,2812785359.4,,,,119600674.8,,,,,,80647294.8,,,36849685.2,558876985.8,,,,4280626.2
2004-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2004-06-30 00:00:00,2630730052.8,,,,32681880.0,,3495179573.1,797237324.1,198245313.0,255363264.9,18400535.1,9722028458.7,5636713876.2,7580494155.6,4085314582.5,10410242002.2,4500566517.6,9722028458.7,2141534303.1,415251935.1,5221461941.1,,4990534748.1,730199148.3,,,,,,,205286772.6,920723897.7,308363087.7,960502414.5,113748858.9,336872722.5,,,1819403442.9,685939606.2,5636713876.2,,,,,,586243955.7,,3317411367.9,,,,54000440.1,,,,,,30011091.3,,,36905058.0,415251935.1,,,,
2005-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2004-12-31 00:00:00,2414455056.0,,,,25044427.2,,3162275563.2,654846691.1999999,198231696.0,186558652.8,522974.4,9581096803.2,5897136772.8,6846235593.6,3683960030.4,11066695224.0,4035226977.6,9581096803.2,2734861209.6,351266947.2,5545869825.6,,5322593702.4,760493884.8,,,,,,,203167598.4,,272794267.2,932337120.0,115039516.8,206889945.6,,,903098289.6,1206314179.2,5897136772.8,,,,,,544273142.4,,3202963608.0,878210860.8,,,55232673.6,,,,,,66798576.0,,,56750678.4,351266947.2,,604309118.4,,
