REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,DEFER_INCOME,DEFER_INCOME_1YEAR,LONG_LOAN,MINORITY_EQUITY,MONETARYFUNDS,NET_CURRENT_ASSETS,PREPAYMENT,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,UNASSIGN_RPOFIT,储备,其他应付款及应计费用,其他权益,其他非流动负债,其他非流动资产,可供出售投资,可转换可赎回优先股,可转换票据及债券,合营公司权益,固定资产,在建工程,存货,应付关联方款项(流动),应付票据,应付股利,应收关联方款项,应收帐款,应收票据,总权益及非流动负债,总资产减总负债合计,拟派股息,拨备(流动),拨备(非流动),指定以公允价值记账之金融资产,无形资产,流动负债其他项目,流动资产其他项目,物业厂房及设备,短期存款,职工薪酬及福利(非流动),联营公司权益,股东权益其他项目,衍生金融工具-负债,衍生金融工具-负债(流动),衍生金融工具-资产,衍生金融工具-资产(流动),证券投资,递延税项负债,递延税项负债(流动),递延税项资产,长期应付款,非流动负债其他项目,非流动资产其他项目,非运算项目,预缴及应收税项
2005-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2005-06-30 00:00:00,16486247295.0,,,,52668371.0,,-205756782.0,5937777097.0,230634418.0,147624134.0,329337680.0,45192857283.0,17818650591.0,27168449910.0,27374206692.0,19304662755.0,35514191720.0,45192857283.0,18024407373.0,8139985028.0,9678665563.0,,9395362774.0,9849173117.0,,,,240295727.0,,,190221297.0,,259277284.0,2567655314.0,112898492.0,448925974.0,,,5680673425.0,861694267.0,17818650591.0,,,,,,15460415075.0,,12173453768.0,1493087876.0,,,52404492.0,,,,,,,,,266673197.0,8139985028.0,,9228464.0,,
2006-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2005-12-31 00:00:00,13493981907.0,,,,5964648.0,,-3581867328.0,6385877214.0,228516568.0,1029046086.0,317505268.0,40410153486.0,14897453961.0,21930832197.0,25512699525.0,16743905350.0,32035218487.0,40410153486.0,18479321289.0,6522518962.0,8374934999.0,,8140453783.0,174602243.0,,,,242514250.0,,,,,224195405.0,2911253295.0,,396304361.0,,,3886425141.0,741748874.0,14897453961.0,,,10101259660.0,,,15310906685.0,,8056932677.0,1782692188.0,,,72634020.0,,,,,,,,,499819865.0,,6522518962.0,295153872.0,,
2006-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2006-06-30 00:00:00,17047100036.9,,,,5884072.8,,-3900547113.9,6695995759.4,225279319.5,90538797.6,88498353.0,43975076775.4,14472818186.9,25601711474.6,29502258588.5,15253050985.400002,36345609246.3,43975076775.4,18373365300.8,6843350657.8,7629467529.1,,7398304136.8,11710704711.9,,,,215432988.0,,,,,346883490.7,2720600708.7,,464272324.8,,,5618925723.8,1905838526.0,14472818186.9,,,,,,14759896088.2,101144364.3,8708601735.4,1890068578.2,,,64827613.9,,,,,,,,,489991417.2,,,558014145.9,,
2007-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2006-12-31 00:00:00,15292106645.2,,,,5754244.8,,-3596828381.0,6115973334.0,220455636.8,139432157.6,464152544.6,42157871259.6,14875449822.8,23685593055.8,27282421436.8,17539680633.6,33385153820.4,42157871259.6,18472278203.8,6102732383.6,8772717439.2,,8546507557.6,,,,,332091079.6,,,,,158071579.6,2766237174.6,,380166866.8,,,4962208580.6,1476126209.4,14875449822.8,,,10921633972.4,,,14445080263.8,65872181.4,8226992287.2,2521797783.6,,,30225253.6,,,19057068.8,,12498467.2,,,,785415744.2,,,154684000.0,,170469502.2
2007-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2007-06-30 00:00:00,19538542544.4,,,,5588035.2,,-2110339519.2,5074859790.0,215627557.2,610057219.2,557301360.0,49970441466.0,16373994648.0,31486107298.8,33596446818.0,20050110643.2,39942592126.8,49970441466.0,18484334167.2,6346145308.8,10027849339.2,,9806633746.8,,,,,645530727.6,,,,,171854614.8,2651425062.0,,498243939.6,,,7649449368.0,1918205744.4,16373994648.0,,,12293775080.4,,,13898810508.0,98526674.4,14135100276.0,2604384921.6,,,30268524.0,,,,,,,,,940547440.8,,,148593667.2,,101410821.6
2008-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2007-12-31 00:00:00,16018754781.0,,,,1221306.0,,1522456195.0,5428262973.0,208457281.0,429071470.0,612119971.0,50535726093.0,19031218334.0,33026963954.0,31504507759.0,22645764688.0,39212233096.0,50535726093.0,17508762139.0,7707725337.0,11323492997.0,,11113814410.0,,,,,475165243.0,,,,,359632503.0,3309858583.0,,325828999.0,,,6040151317.0,2604933394.0,19031218334.0,,,13650017756.0,,,12903504992.0,340990039.0,11591316980.0,2560376782.0,3790667102.0,,18881110.0,,,127724743.0,,23808448.0,,,,1098052360.0,,,50340268.0,,280774038.0
2008-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2008-06-30 00:00:00,19161257122.7,,,,1186384.2,,702837182.3,5451394489.200001,201337580.7,107006400.2,444873620.1,51214092241.0,17847663899.6,34069265523.7,33366428341.4,21851287840.0,40287855128.9,51214092241.0,17144826717.3,6921426787.5,10926237112.1,,10723713147.2,,,,,407407061.6,,,,,335017170.5,4335027411.9,,393627277.3,,,8375422444.2,1981643438.8,17847663899.6,,,12211138928.8,,,12727631972.1,995799078.4,8944341396.2,2448731080.3,4591770498.4,,16534377.5,,,52725913.9,23495861.8,186821420.0,,,,1092850760.6,,,52746368.8,,243256489.1
2009-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2008-12-31 00:00:00,11178678911.0,813424248.7,,1572257000.0,1209954.3,,-2500640579.0,7113957068.4,201864127.0,138720918.7,611532778.1,45265026101.7,14732294182.4,28032091340.3,30532731919.3,17921357742.7,36303742253.2,45265026101.7,17232934761.4,5771010333.9,8961283848.5,,8758209767.2,,,,,696687584.4,1476376666.6,,,,321711125.8,3078684283.0,,233651062.0,,,3295491687.4,1514664542.5,14732294182.4,,,13827371412.2,1162157687.2,,12665972509.9,4380943740.7,12737872506.1,2147443297.8,,464841200.0,18012596.5,,50462613.8,161833096.6,,89980951.7,,,,1304590499.6,,,38643342.7,,241314105.9
2009-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2009-06-30 00:00:00,23753522399.0,,,,1208733.0,,-911603210.0,5681325089.0,208134262.0,231817234.0,564334902.0,56524657350.0,16104885332.0,39508168808.0,40419772018.0,19386813955.0,46830646006.0,56524657350.0,17016488542.0,6410873988.0,9694011344.0,,9484668349.0,,,,,831471724.0,,,,,142753416.0,4587496843.0,,415449044.0,,,10983777258.0,1600581020.0,16104885332.0,,,13636235977.0,,,12784939666.0,1695804596.0,14080790219.0,1886231261.0,2191753892.0,,6910948.0,,,122607866.0,,24543426.0,,,,1277842480.0,,,60422992.0,,383817116.0
2010-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2009-12-31 00:00:00,21444316303.8,1488365494.2,,1365260000.0,1208255.1,,-1254264362.0,10015342571.0,214263904.4,441702567.8,575655052.7,61135851306.4,17315421922.5,42566165021.9,43820429383.9,21925113091.699997,50172690633.0,61135851306.4,18569686284.5,6352261249.1,10963160673.4,,10747688513.9,,,,,768095276.0,648361974.0,,,,168684699.3,5999546328.1,,644587030.1,,,6970075530.6,2640044219.8,17315421922.5,,,17651787855.0,2056313654.2,,14105436263.1,2985523262.8,15278590528.5,1694704064.3,1368372792.8,552022402.1,7242704.3,,1692922.4,76857311.7,,90673742.9,,70522505.3,,1740556321.4,,,59381983.7,,229104280.6
2010-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2010-06-30 00:00:00,20545579301.1,1584146741.1,,1340220000.0,1192795.8,,-558355755.3,17208592327.5,208672254.0,320279074.5,503306218.8,73811725253.7,17352686080.8,55900683417.6,56459039172.9,20997937056.6,63312160327.5,73811725253.7,17911041836.1,6853121154.6,10499564926.2,,10289699876.4,,,,,476997700.2,642682397.7,,,,141969504.6,6588849873.9,,734654995.2,,,11135191065.6,2632031253.6,17352686080.8,,,31320264588.9,2335782323.7,,13823779603.2,2469489372.0,16901018538.6,1529727108.0,1165622839.5,632416312.5,6875328.6,,11331560.1,565465622.4,,46800482.4,,99799482.3,,1811273824.5,,206742337.2,95102011.2,,247893792.3
2011-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2010-12-31 00:00:00,14291896419.6,1817466862.0,1611517225.2,,1173595.6,,-630660116.0,15178111894.8,209417972.4,1780462540.4,634076000.4,70192418459.6,17527132330.4,52034626013.2,52665286129.2,24059503124.4,58162080099.6,70192418459.6,18157792446.4,5496793970.4,12030338360.0,,11819746792.0,,,,,515916559.6,,,,,210407988.8,5269391792.8,,648847569.6,,,8975213313.6,2567807503.6,17527132330.4,,,33441324696.8,2591364648.8,,13994321092.8,,19370870687.2,1373021618.8,276404711.2,490877668.0,5992549.6,,,257161677.2,,87167338.0,,112068545.2,,1646298927.2,,485016246.4,348354644.8,,373137836.8
2011-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2011-06-30 00:00:00,27170953245.9,2251172485.8,,,452583268.2,,857377688.4,19567309041.0,210239156.7,376388017.2,550810957.5,98999409291.3,25054599963.6,74802187016.1,73944809327.7,29291920185.6,84127157564.4,98999409291.3,24197222275.2,10182348236.7,14872251726.9,,14209429302.0,,,,,297866872.8,,,,,462039359.4,8296874826.3,,716731041.6,,,14979782989.8,4437842736.6,25054599963.6,,,41756147784.9,2969778222.9,,17482596805.8,3053821775.4,26494842725.1,2529402717.6,341677553.4,995094726.3,18251272.8,,,319956505.2,,563469918.3,,177708423.6,,3017039614.2,,3788594378.1,327684063.6,,182728794.6
2012-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2011-12-31 00:00:00,25493627049.6,2401860819.9,1952233793.7,,545929816.2,23651788983.6,67493778.9,20875706851.5,208536453.3,396238773.6,853066479.0,99832306136.4,25498656195.3,74401143720.0,74333649941.1,30270572737.2,84424054859.7,99832306136.4,25431162416.4,10090404918.6,15408251276.7,,14653785007.2,39963354136.2,,4040852479.8,,452849707.8,,1832339967.3,,,654519079.8,7669566784.2,,801358804.5,,,14822503718.7,4024141113.3,25498656195.3,,,4563757746.6,,,19456971631.5,,,2470349098.2,2603775669.6,1289185937.4,21463563.0,,,310013157.9,,395804466.9,,526165714.2,,2092810689.9,,,196898292.6,545929816.2,443156485.8
2012-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2012-06-30 00:00:00,26019095051.0,2634247971.0,2303799438.0,1902300000.0,1506894263.0,,3051866231.0,21652010305.0,209056429.0,154485783.0,534115112.0,105972548457.0,29390376475.0,79634038213.0,76582171982.0,30195822977.0,90796189287.0,105972548457.0,26338510244.0,14214017305.0,15176359170.0,,14810407378.0,,-1349998900.0,,,435931068.0,,,,,1134715609.0,9763649865.0,,578533817.0,,,18263608181.0,4890166518.0,29390376475.0,,,46365873916.0,1831287141.0,,19565497914.0,,21898041105.0,2527281642.0,2675261559.0,1341001021.0,19530280.0,,,626268865.0,,253208812.0,,563822697.0,,2214689365.0,,5941358475.0,235060870.0,,443895364.0
2013-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2012-12-31 00:00:00,22721628050.0,2529751906.0,2466291831.3,1900310463.7,84868368.2,21653294649.8,1869780920.7,20511759304.3,209788738.5,1102310838.2,628012133.1,105831550993.3,30031309634.7,77670022279.3,75800241358.6,33518704973.6,89029764322.4,105831550993.3,28161528714.0,13229522963.8,16801786670.9,,16507129564.2,42956659301.6,,5306868337.1,,438584781.8,,1750621669.5,,,1153797313.9,12317078299.9,,623774356.7,,,18086020987.1,3592029548.8,30031309634.7,,,4868678496.0,,,20852981800.2,,,3007674035.3,746343889.5,1027366138.7,17320970.7,,,432886351.7,,623699129.9,,714604448.8,,2190284702.1,,,271932344.2,84868368.2,368749235.8
2013-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2013-06-30 00:00:00,26690896460.0,2525284852.0,2497329896.0,96492860.0,23737428.0,17647588080.0,-888263040.0,21925925948.0,204845212.0,2682175664.0,926528192.0,110866533564.0,27981693652.0,81996576872.0,82884839912.0,33652043236.0,94028643232.0,110866533564.0,28869956692.0,11143803320.0,16837890332.0,,16609307692.0,43690995624.0,,5005726192.0,,406229100.0,,1638079268.0,,,1420212592.0,15957023336.0,,917871808.0,,,20386804888.0,4722407908.0,27981693652.0,,,4901622108.0,,,20518163056.0,,,3493293600.0,888945468.0,1018662120.0,84522704.0,,,577420160.0,,254717788.0,,859558028.0,,2460023832.0,,,263872160.0,23737428.0,436803104.0
2013-12-31,00992.HK,00992,联想集团,10009194,004,3-31,2013-09-30 00:00:00,32094416929.5,2602730028.6,2503594434.6,75284521.2,1324923435.9,22708324736.1,372337683.0,22402632267.0,203301130.5,2704981138.5,1031278441.2,119030473746.6,29186683381.5,90216128048.1,89843790365.1,35664017747.7,101185018159.8,119030473746.6,28814345698.5,11341227794.7,17845455586.8,,17615261030.4,45192935920.5,-1298030010.0,5131114458.6,251619063.0,163902962.7,,,,,1694615064.3,16233776653.2,,861449291.7,,,23602313183.1,4018704569.1,29186683381.5,,,5085863266.8,1702376418.0,,20322120014.1,,335359984.5,3709073502.6,580132228.8,996556595.7,110256339.6,,,369270942.3,,556659163.8,,833165772.6,,2340984014.7,,,,,
2014-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2013-12-31 00:00:00,29230749574.5,2696988358.5,2524391193.0,62290012.5,89759139.0,23735687702.4,-380039825.4,18712904091.0,10151586362.1,2740619051.7,1093480406.1,112934671845.3,30113120669.1,82441511350.8,82821551176.2,37127000685.0,94326291933.3,112934671845.3,30493160494.5,11504740757.1,18608379912.0,,8367034410.9,40962244433.4,,5197995419.4,,216289379.7,,1705552835.1,,,2165133161.4,16616914381.5,,667865823.9,,,19510486943.4,2751988132.5,30113120669.1,,,5242536623.4,,,20545036383.6,,,4105991517.3,584357218.5,962895931.5,127674531.3,,,359664070.2,,376410086.4,,879018200.1,,2395197093.0,,,686315971.8,89759139.0,404285251.5
2014-06-30,00992.HK,00992,联想集团,10009194,003,3-31,2014-03-31 00:00:00,32845301503.2,2765025250.4,2512102100.8,9210150931.2,1381586628.8,,8691839059.2,18649678246.4,10155110260.8,2810943596.8,799556360.0,127569257231.2,40846211886.4,95414884404.0,86723045344.8,39979713062.399994,107543572945.6,127569257231.2,32154372827.2,20820527600.8,20025684285.6,,9798918516.0,41392482081.6,-1309931120.0,,,237104300.8,,,,,2324681660.0,16977304136.8,,633830692.0,,,22437114272.8,3042571905.6,40846211886.4,,,5419743102.4,1751843674.4,,21722626525.6,,33453032017.6,4312940521.6,582762452.0,985789310.4,149316150.4,,,309085908.0,,126113941.6,,887510636.0,,2360386358.4,,5220207798.4,796849128.0,,396775613.6
2014-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2014-06-30 00:00:00,33900804115.0,2825320287.5,2487591105.0,11653185692.5,133164710.0,32172123885.0,9816362970.0,22337241890.0,10154615115.0,1202149280.0,801560005.0,132913306545.0,42075753915.0,100653915600.0,90837552630.0,37845393355.0,113924027512.5,132913306545.0,32259390945.0,23086474882.5,18989279032.5,,8701499207.5,45621008990.0,,5135042617.5,,434514160.0,,1687236990.0,,,2802580647.5,18234170402.5,,934903137.5,,,22387089445.0,3901989330.0,42075753915.0,,,5496680415.0,,,21128995482.5,,,4451376817.5,574661957.5,940409625.0,142904117.5,,,392855582.5,,914421465.0,,845279670.0,,2200712335.0,,,795881247.5,133164710.0,434643362.5
2014-12-31,00992.HK,00992,联想集团,10009194,004,3-31,2014-09-30 00:00:00,44605447897.0,3742876039.0,4664379082.0,11576377006.0,1457582514.0,,-8192331365.0,24961144915.0,16459387958.0,5062664792.0,1069631795.0,178960398206.0,61770748171.0,108997318670.0,117189650035.0,51548817934.0,153108565532.0,178960398206.0,69963079536.0,35918915497.0,25851832674.0,,9237597302.0,53405090012.0,-1302735100.0,,,430055558.0,,,,,2359382377.0,19420543390.0,,762837373.0,,,35526375528.0,3103630228.0,61770748171.0,,,7050244491.0,2330182509.0,,54155713861.0,,23749374869.0,9141100672.0,669687836.0,1530257877.0,145497582.0,,,569354593.0,,1293703456.0,,1106088797.0,,2700951076.0,,15633133269.0,733276484.0,,569960374.0
2015-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2014-12-31 00:00:00,28647620043.0,3379469151.0,4259038333.2,11583255585.6,138064371.6,17537350710.6,-11923447474.8,23817074568.600002,16521793220.4,7175772562.8,1039020694.2,168274843722.0,61103330379.6,95248065867.6,107171513342.4,50303168440.8,143054227315.8,168274843722.0,73026777854.4,35882713973.4,25220616406.2,,8560758814.2,56987650994.4,,14786136486.6,,450837480.0,,2080363140.0,,,1913848098.0,18146669235.0,,1050617167.8,,,32048402628.0,2056027743.6,61103330379.6,,,7514907993.6,,,56666358654.6,,,8865117108.6,1051169965.8,2519026779.6,280815241.8,,,496885553.4,,1133444734.8,,1534462830.6,,3235717102.2,,,231407385.0,138064371.6,840603065.4
2015-06-30,00992.HK,00992,联想集团,10009194,003,3-31,2015-03-31 00:00:00,29921358414.4,3370592747.2,4164174708.8,15452649769.6,1418978787.2,,-7786568299.2,24091166569.6,16444862595.2,5582591044.8,807001313.6,163220794982.4,64337025937.6,91097200745.6,98883769044.8,49747304694.399994,138288445961.6,163220794982.4,72123594236.8,39404676916.8,24932349020.8,,8370093078.4,50352569435.2,-1301585440.0,,,637874683.2,,,,,1912065081.6,17509857828.8,,597433219.2,,,29472644628.8,2441551750.4,64337025937.6,,,7051206150.4,1938616446.4,,54670391139.2,,16625495020.8,9061039923.2,1058734907.2,2504650216.0,276401969.6,,,407434758.4,,313829428.8,,1221533961.6,,3973259208.0,,14916633776.0,282998544.0,,893484299.2
2015-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2015-06-30 00:00:00,36973803073.9,3524955362.5,4288413143.3,16023370427.9,231474984.4,17559955165.5,-17141470683.7,28304496207.9,17111146366.6,3651856936.2,1097018907.6,173816657381.4,58631873093.2,98043313604.5,115184784288.2,38069696031.4,154666071873.5,173816657381.4,75773343776.9,39481287585.3,19150585507.9,,1807964156.9,57987956862.0,,13774052915.7,,648858961.3,,2063033203.0,,,2256811123.6,17311463703.6,,1620343974.7,,,31563727346.8,2295882228.2,58631873093.2,,,9188458920.3,,,57415458945.9,,,8307870522.6,1223583332.4,2606746236.6,295316991.2,,,376932470.2,,385761954.6,,1489129439.6,,5334687960.8,,,221023368.5,231474984.4,691759568.5
2015-12-31,00992.HK,00992,联想集团,10009194,004,3-31,2015-09-30 00:00:00,39749565892.0,3694150597.6,3811126308.0,16327436410.4,1577392844.0,,-16463594215.2,26619006684.8,17467017755.2,1529028511.2,1420039928.8,174237970029.6,58957400922.4,98816974892.0,115280569107.2,37664224175.2,155308405240.0,174237970029.6,75420995137.6,40027836132.8,18929564789.6,,1267641630.4,58337314071.2,-1382487440.0,,,805024579.2,,,,,2176856021.6,17498479247.2,,1633004034.4,,,35249923176.0,1603529584.0,58957400922.4,,,8586974300.0,2064399856.8,,55400102944.8,,16567394411.2,8938615727.2,970390596.8,2495477492.8,287841807.2,,,213516061.6,,409272127.2,,1408065730.4,,6101055386.4,,14038306044.8,926415937.6,,684061798.4
2016-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2015-12-31 00:00:00,27567918044.4,3442398136.0,4588511636.8,16186029654.4,168307798.8,12449957056.0,-18049258820.8,25112674966.8,17379865578.4,4818859878.0,1220960041.6,161099613006.8,59269421094.8,83780933091.2,101830191912.0,38938092278.8,141546412968.0,161099613006.8,77318679915.6,39716221056.0,19553200038.8,,2005026661.6,53665719252.8,,13908236973.6,,901802606.4,,1879285248.4,,,1493247932.0,17040232600.4,,1516191653.2,,,28451939428.4,844595141.6,59269421094.8,,,7477268928.4,,,55961015324.4,,,8990721032.8,984273363.2,2861497488.8,261284466.8,,,974762476.8,,174588085.2,,1438773554.8,,6464895806.4,,,1062285892.0,168307798.8,906099304.4
