REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ASSET_IMPAIRMENT_LOSS,BASIC_EPS,CONTINUED_NETPROFIT,DILUTED_EPS,FINANCE_EXPENSE,GROSS_PROFIT,HOLDER_PROFIT,INCOME_TAX,INTEREST_INCOME,MANAGE_EXPENSE,MINORITY_INTEREST,NETPROFIT,NON_OPERATING_ITEMS,OPERATE_INCOME,OPERATE_PROFIT,PARENT_TCI,RESEARCH_EXPENSE,SALE_EXPENSE,TOTAL_PROFIT,全面收益总额,其他全面收益,其他全面收益其他项目,其他支出,其他收入,出售资产之溢利,应占合营公司溢利,应占联营公司溢利,折旧与摊销,毛利调整项目,永久资本证券持有人应占全面收益总额,永久资本证券持有人应占溢利,终止或非持续业务溢利,股息,销售成本,非控股权益应占全面收益总额
2000-03-31,00992.HK,00992,联想集团,10009194,001,3-31,1999-04-01 00:00:00,,0.0723316,,0.0712679,44096747.2,641706808.6,511521629.3,-3352782.4,17415960.1,,10622108.2,522143737.5,515809404.0,37122383282.6,559906151.2,,,,518790955.1,,,,,,,,2981551.1,99216617.5,-17919484832.7,,,,189602397.6,,
2000-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2000-04-01 00:00:00,,0.01677012,,0.0604998,19363120.2,479179644.0,125077498.8,14959371.6,56655409.2,,16016526.0,141094024.8,459484305.6,27788156769.6,176717793.0,,,,156053396.4,,,,,,,,-1301276.4,359117260.2,-13414898740.8,,,,,,
2001-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2000-04-01 00:00:00,175810296.0,0.01613328,,0.01602714,35573882.4,1030300980.0,120483759.6,20332178.4,109551339.6,,31721000.4,152204760.0,179571897.6,57780943233.6,215145780.0,,,,172536938.4,,,,,,-1420153.2,,-7034959.2,747476090.4,-27860170636.8,,,,1139107216.8,,
2001-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2001-04-01 00:00:00,,0.063594,,0.06306405,12230186.1,555143823.0,480602115.9,11616504.0,43960412.4,,10621257.9,491223373.8,510943873.2,24469298677.8,523174059.3,,,,502839877.8,,,,,,,,-8103995.4,75930176.1,-11679505515.9,,,,119605475.4,,
2002-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2001-04-01 00:00:00,,0.1470546,,0.1463119,12503885.0,1070483218.0,1108638900.0,24500612.0,71468960.0,,14007322.0,1122646222.0,1151933005.0,44250604988.0,1164436890.0,,,,1147146834.0,,,,,,174258640.0,8984548.0,-13770719.0,151773928.0,-21054819276.0,,,,406456368.0,,
2002-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2002-04-01 00:00:00,,0.07403686,,0.07393079,,615389501.1,556003029.5,10976123.6,34938397.3,,-7040926.6,548962102.9,580511563.7,21997935791.8,580511563.7,,,,559938226.5,,,,,,6789540.7,-36724616.1,16151278.9,76605875.4,-10383578394.8,,,,143230563.8,,
2003-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2002-04-01 00:00:00,,0.14377905,,0.14367294,21222.0,1246495392.0,1079299987.2,27607699.8,81951936.3,,-15406110.9,1063893876.3,1113710399.1,42939088038.0,1113731621.1,,,,1091501576.1,,,,,,-28439602.2,-36879591.6,14670768.6,186276105.0,-20223048627.0,,,,793078873.2,,
2003-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2003-04-01 00:00:00,,0.07713126,,0.07681077,,643298211.0,576260249.4,-1416565.8,42784346.7,,-11325048.3,564935201.1,572235963.3,24761356524.0,572235963.3,,,,563518635.3,,,,,,6411936.6,-14463713.7,5746385.7,120258531.0,-11737380051.0,,,,159642478.8,,
2004-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2003-04-01 00:00:00,,0.14955126,,0.14848986,3057893.4,1194211920.6,1117532139.0,-21387210.0,99100795.2,,-40209016.2,1077323122.8,1079458659.6,49197893923.2,1082516553.0,,,,1055935912.8,,,,,,50478061.2,-41450854.2,17928107.4,261274224.0,-23404735041.0,,,,396649425.6,,
2004-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2004-04-01 00:00:00,54502340.4,0.08902629,,0.08892018,3713850.0,645269765.4,665172818.1,26426695.5,44190570.6,,-21893676.3,643279141.8,680694588.9,24474712917.6,684408438.9,,,,669705837.3,,,,,,174425740.2,-10727721.0,-261030.6,124975296.9,-11592086693.4,,,,190315712.7,,
