代码,简称,公告标题,公告时间,公告链接
002594,比亚迪,防范控股股东、实际控制人及其他关联方资金占用管理制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776140&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,公司章程（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776130&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,财务负责人管理制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776142&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,董事会议事规则（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776149&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,内部审计制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776143&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,对外担保制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776153&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,关于修订《公司章程》及公司部分治理制度的公告,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776154&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,关联交易决策制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776151&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,募集资金管理制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776150&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,会计师事务所选聘制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776152&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,股东会议事规则（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776148&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,外汇衍生品交易业务管理制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776147&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,委托理财管理制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776146&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,证券投资管理制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776145&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,年报信息披露重大差错责任追究制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776144&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,H股公告（董事会会议通告）,2025-10-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224714146&orgId=gshk0001211&announcementTime=2025-10-16 00:00:00
002594,比亚迪,H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）,2025-10-09 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224697529&orgId=gshk0001211&announcementTime=2025-10-09 00:00:00
002594,比亚迪,2025年9月产销快报,2025-10-09 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224697528&orgId=gshk0001211&announcementTime=2025-10-09 00:00:00
002594,比亚迪,关于高级管理人员、核心人员增持公司股份的公告,2025-09-11 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224650870&orgId=gshk0001211&announcementTime=2025-09-11 00:00:00
002594,比亚迪,H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）,2025-09-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224632703&orgId=gshk0001211&announcementTime=2025-09-02 00:00:00
002594,比亚迪,2025年8月产销快报,2025-09-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224632702&orgId=gshk0001211&announcementTime=2025-09-02 00:00:00
002594,比亚迪,2025年半年度报告,2025-08-30 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224626653&orgId=gshk0001211&announcementTime=2025-08-30 00:00:00
002594,比亚迪,2025年半年度报告摘要,2025-08-30 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224626650&orgId=gshk0001211&announcementTime=2025-08-30 00:00:00
