,海康威视_收盘,上证指数_收盘,大华股份_收盘,萤石网络_收盘
海康威视_收盘,1.0,0.5947730910160616,0.6675104003681176,0.47510226944918593
上证指数_收盘,0.5947730910160616,1.0,0.5482908058184575,0.4591041079949858
大华股份_收盘,0.6675104003681176,0.5482908058184575,1.0,0.496329442117233
萤石网络_收盘,0.47510226944918593,0.4591041079949858,0.496329442117233,1.0
