,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
海康威视(002415.SZ),-0.4,0.006,25.7,-15.4,9.4,0.843,22.3,-15.4,1.7,0.13,22.9,-17.1,1.0
上证指数(000001.IDX),3.7,1.242,11.7,-5.1,14.9,2.512,11.2,-5.1,17.0,1.224,13.5,-9.7,0.595
大华股份(002236.SZ),-2.1,-0.189,33.7,-14.7,21.6,1.427,31.1,-14.7,20.1,0.692,32.5,-25.4,0.668
萤石网络(688475.SH),-8.4,-1.414,26.0,-19.5,-4.5,-0.314,26.2,-21.5,-2.0,0.08,40.1,-33.4,0.475
