,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
分众传媒(002027.SZ),8.0,0.97,28.2,-13.5,14.5,1.43,25.5,-13.5,8.1,0.55,27.9,-17.7,1.0
上证指数(000001.IDX),10.8,2.92,12.8,-3.0,20.5,3.61,10.5,-3.0,16.9,1.35,14.6,-10.8,0.48
光线传媒(300251.SZ),-13.2,-1.62,39.3,-24.6,-8.7,-0.18,44.4,-26.9,92.8,1.34,72.5,-53.0,0.27
蓝色光标(300058.SZ),13.1,1.83,40.2,-18.8,31.4,1.84,34.8,-18.8,38.1,0.86,65.3,-39.2,0.25
