,分众传媒_收盘,上证指数_收盘,光线传媒_收盘,蓝色光标_收盘
分众传媒_收盘,1.0,0.4819225466771902,0.26717359003564084,0.24966554926176485
上证指数_收盘,0.4819225466771902,1.0,0.33394088087400864,0.4464286435792577
光线传媒_收盘,0.26717359003564084,0.33394088087400864,1.0,0.31232311466783264
蓝色光标_收盘,0.24966554926176485,0.4464286435792577,0.31232311466783264,1.0
