,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
中国西电(601179.SH),40.6,2.601,58.5,-25.1,48.1,1.868,47.3,-25.1,20.6,0.656,39.5,-25.1,1.0
上证指数(000001.IDX),2.2,0.606,11.9,-4.8,14.3,2.452,11.2,-4.8,14.7,0.949,13.7,-9.7,0.569
平高电气(600312.SH),20.5,1.945,39.0,-16.5,22.3,1.245,34.6,-16.5,4.1,0.286,32.8,-27.3,0.769
许继电气(000400.SZ),13.5,1.483,38.5,-14.7,27.0,1.513,34.6,-14.7,1.3,0.157,33.0,-28.5,0.776
