,中国西电_收盘,上证指数_收盘,平高电气_收盘,许继电气_收盘
中国西电_收盘,1.0,0.5694599934840919,0.7692860878688963,0.7761172766017427
上证指数_收盘,0.5694599934840919,1.0,0.46139688928746997,0.5002992374981188
平高电气_收盘,0.7692860878688963,0.46139688928746997,1.0,0.8345670782105336
许继电气_收盘,0.7761172766017427,0.5002992374981188,0.8345670782105336,1.0
