日期,00288.HK_close,00288.HK_volume,00288.HK_turnover
2024-05-13,4.7113,41612641.0,
2024-05-14,4.8042,29909052.0,
2024-05-16,4.686,47843545.0,
2024-05-17,4.7535,27101043.0,
2024-05-20,4.7451,13192200.0,
2024-05-21,4.7282,21840689.0,
2024-05-22,4.7451,10468915.0,
2024-05-23,4.7535,17093470.0,
2024-05-24,4.7535,15723606.0,
2024-05-27,4.7789,6756804.0,
2024-05-28,4.7873,12023599.0,
2024-05-29,4.6269,19205279.0,
2024-05-30,4.5509,26305984.0,
2024-05-31,4.4918,49778807.0,
2024-06-03,4.4918,22741113.0,
2024-06-04,4.534,13697351.0,
2024-06-05,4.6016,21229058.0,
2024-06-06,4.534,13074832.0,
2024-06-07,4.4918,23443383.0,
2024-06-11,4.3567,25382853.0,
2024-06-12,4.2807,26590294.0,
2024-06-13,4.3652,19754289.0,
2024-06-14,4.3652,16715834.0,
2024-06-17,4.4158,14841686.0,
2024-06-18,4.458,16713870.0,
2024-06-19,4.4496,10087722.0,
2024-06-20,4.3905,11246501.0,
2024-06-21,4.2807,25382493.0,
2024-06-24,4.4074,20030445.0,
2024-06-25,4.3736,13832523.0,
2024-06-26,4.3483,25872146.0,
2024-06-27,4.2892,18752383.0,
2024-06-28,4.3398,19145596.0,
2024-07-02,4.3314,16312404.0,
2024-07-03,4.4074,20781748.0,
2024-07-04,4.4243,14427317.0,
2024-07-05,4.2976,18222975.0,
2024-07-08,4.2723,17325628.0,
2024-07-09,4.2301,14367365.0,
2024-07-10,4.1541,28743239.0,
2024-07-11,4.2047,12453487.0,
2024-07-12,4.4243,33984421.0,
2024-07-15,4.4158,47590577.0,
2024-07-16,4.5509,30919395.0,
2024-07-17,4.5171,23189770.0,
2024-07-18,4.5509,22685752.0,
2024-07-19,4.4158,15536981.0,
2024-07-22,4.4243,8938551.0,
2024-07-23,4.4749,13060439.0,
2024-07-24,4.4158,15793296.0,
2024-07-25,4.3314,18076620.0,
2024-07-26,4.1963,23000447.0,
2024-07-29,4.2723,13756935.0,
2024-07-30,4.1879,18503009.0,
2024-07-31,4.2892,28753677.0,
2024-08-01,4.2385,18842564.0,
2024-08-02,4.2132,14514058.0,
2024-08-05,4.3398,43947243.0,
2024-08-06,4.3989,27726493.0,
2024-08-07,4.458,18421635.0,
2024-08-08,4.4074,16582380.0,
2024-08-09,4.4411,9282457.0,
2024-08-12,4.4411,16023465.0,
2024-08-13,4.4327,21898519.0,
2024-08-14,4.8042,74569870.0,
2024-08-15,4.7535,46711653.0,
2024-08-16,4.7535,34281913.0,
2024-08-19,4.6944,25921893.0,
2024-08-20,4.7029,29303126.0,
2024-08-21,4.6776,12043742.0,
2024-08-22,4.6438,18708246.0,
2024-08-23,4.7029,33288890.0,
2024-08-26,4.7029,9465694.0,
2024-08-27,4.7717,24330757.0,
2024-08-28,4.6857,13572956.0,
2024-08-29,4.7889,13383104.0,
2024-08-30,4.8834,41198289.0,
2024-09-02,4.8662,9722617.0,
2024-09-03,4.8147,9524045.0,
2024-09-04,4.8576,18412868.0,
2024-09-05,4.9092,15388362.0,
2024-09-09,4.9092,40974480.0,
2024-09-10,4.935,21585486.0,
2024-09-11,4.9436,22291730.0,
2024-09-12,4.9522,16764293.0,
2024-09-13,5.0382,21339619.0,
2024-09-16,5.0554,9743569.0,
2024-09-17,5.0898,28905844.0,
2024-09-19,5.1328,43011058.0,
2024-09-20,5.1672,50734559.0,
2024-09-23,5.2101,26539408.0,
2024-09-24,5.2703,44443963.0,
2024-09-25,5.2617,44513049.0,
2024-09-26,5.4337,51866566.0,
2024-09-27,5.2875,60233670.0,
2024-09-30,5.2961,58552962.0,
2024-10-02,5.4767,55162752.0,
2024-10-03,5.3735,38644509.0,
2024-10-04,5.4681,36528514.0,
2024-10-07,5.5369,26079301.0,
2024-10-08,5.2703,48585236.0,
2024-10-09,5.3133,46555727.0,
2024-10-10,5.3305,46079430.0,
2024-10-14,5.2101,42674405.0,
2024-10-15,5.107,35575467.0,
2024-10-16,5.1586,23560045.0,
2024-10-17,5.1758,33330424.0,
2024-10-18,5.2445,26423837.0,
2024-10-21,5.3047,35254202.0,
2024-10-22,5.3047,19669775.0,
2024-10-23,5.3219,11133986.0,
2024-10-24,5.3907,19057786.0,
2024-10-25,5.3993,19932437.0,
2024-10-28,5.4165,11374699.0,
2024-10-29,5.3993,22946546.0,
2024-10-30,5.4853,31300922.0,
2024-10-31,5.2101,32185596.0,
2024-11-01,5.2445,13464890.0,
2024-11-04,5.2359,22291914.0,
2024-11-05,5.1672,28182140.0,
2024-11-06,5.1242,32851858.0,
2024-11-07,5.2961,33829261.0,
2024-11-08,5.3477,33659879.0,
2024-11-11,5.2961,15931080.0,
2024-11-12,5.2273,18493688.0,
2024-11-13,5.3477,22186563.0,
2024-11-14,5.2445,25929307.0,
2024-11-15,5.3047,22371991.0,
2024-11-18,5.3735,29966804.0,
2024-11-19,5.4509,23449375.0,
2024-11-20,5.5283,24842529.0,
2024-11-21,5.5283,17435294.0,
2024-11-22,5.4079,21190098.0,
2024-11-25,5.4251,48721378.0,
2024-11-26,5.3305,29375508.0,
2024-11-27,5.3649,17334387.0,
2024-11-28,5.3391,15703725.0,
2024-11-29,5.3047,19627702.0,
2024-12-02,5.3821,16049086.0,
2024-12-03,5.3391,30424945.0,
2024-12-04,5.4595,23671985.0,
2024-12-05,5.4767,16423358.0,
2024-12-06,5.3735,32383508.0,
2024-12-09,5.3735,38980591.0,
2024-12-10,5.4767,31991112.0,
2024-12-11,5.5626,31140865.0,
2024-12-12,5.6744,29629438.0,
2024-12-13,5.597,37696039.0,
2024-12-16,5.5111,19271633.0,
2024-12-17,5.3821,31527215.0,
2024-12-18,5.4423,22098391.0,
2024-12-19,5.2445,35019424.0,
2024-12-20,5.1586,50687373.0,
2024-12-23,5.0898,17273283.0,
2024-12-24,5.107,8349629.0,
2024-12-27,5.1328,17224986.0,
2024-12-30,5.1328,17102741.0,
2024-12-31,5.1672,13524281.0,
2025-01-02,5.107,21984434.0,
2025-01-03,5.1414,22104191.0,
2025-01-06,5.0554,22827522.0,
2025-01-07,4.978,23260109.0,
2025-01-08,5.1242,27554692.0,
2025-01-09,5.0296,11472838.0,
2025-01-10,5.0812,15672419.0,
2025-01-13,4.9866,15345101.0,
2025-01-14,5.1156,33723668.0,
2025-01-15,5.15,24080801.0,
2025-01-16,5.1242,17161459.0,
2025-01-17,5.193,20981608.0,
2025-01-20,5.3305,45869471.0,
2025-01-21,5.5712,50110061.0,
2025-01-22,5.5626,39287910.0,
2025-01-23,5.3477,24560143.0,
2025-01-24,5.3649,26963148.0,
2025-01-27,5.3649,17127752.0,
2025-01-28,5.2187,23105794.0,
2025-02-03,5.3563,32826344.0,
2025-02-04,5.3305,26626497.0,
2025-02-05,5.3735,24706880.0,
2025-02-06,5.2875,26189943.0,
2025-02-07,5.2531,21891084.0,
2025-02-10,5.2273,21448416.0,
2025-02-11,5.1328,30267731.0,
