日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-03-05,20.87,54.39,0.53,-0.76,2.00,47.02
2025-03-06,25.03,66.01,0.64,1.27,1.68,49.95
2025-03-07,22.29,58.13,0.57,-1.34,1.13,46.96
2025-03-10,28.68,73.55,0.73,-1.64,0.35,43.57
2025-03-11,17.14,43.56,0.44,-0.51,-0.36,42.57
2025-03-12,19.91,50.59,0.51,-0.27,-0.97,42.01
2025-03-13,16.89,43.17,0.43,-0.50,-1.53,40.94
2025-03-14,35.11,91.48,0.90,3.47,-1.27,50.27
2025-03-17,33.52,86.86,0.86,-2.29,-1.52,45.04
2025-03-18,22.58,58.18,0.58,0.39,-1.62,46.04
2025-03-19,36.95,97.37,0.95,3.27,-1.03,53.71
