,宁德时代_收盘,上证指数_收盘,比亚迪_收盘,赣锋锂业_收盘
宁德时代_收盘,1.0,0.5549323610719552,0.6096197637625842,0.5751005234948572
上证指数_收盘,0.5549323610719552,1.0,0.5423201067976573,0.5805348515047909
比亚迪_收盘,0.6096197637625842,0.5423201067976573,1.0,0.5456228117217746
赣锋锂业_收盘,0.5751005234948572,0.5805348515047909,0.5456228117217746,1.0
