,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
宁德时代(300750.SZ),-2.6,0.131,30.7,-10.4,42.8,1.598,53.0,-22.6,65.9,1.361,44.8,-22.6,1.0
上证指数(000001.IDX),-1.0,0.02,14.0,-8.7,22.9,1.848,24.0,-9.4,12.4,0.731,18.8,-14.7,0.555
比亚迪(002594.SZ),40.0,3.741,39.2,-10.0,57.0,2.52,39.8,-18.8,110.7,2.274,36.0,-18.8,0.61
赣锋锂业(002460.SZ),-8.1,-0.597,33.8,-16.7,36.4,1.434,55.9,-25.8,-3.1,0.11,49.3,-37.1,0.575
