,小米集团-W_收盘,上证指数_收盘,联想集团_收盘,中兴通讯_收盘
小米集团-W_收盘,1.0,0.4130553005485536,0.5129296239590387,0.22259167398472146
上证指数_收盘,0.4130553005485536,1.0,0.4019953182443814,0.5286203419973562
联想集团_收盘,0.5129296239590387,0.4019953182443814,1.0,0.317854197917382
中兴通讯_收盘,0.22259167398472146,0.5286203419973562,0.317854197917382,1.0
