,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
小米集团-W(01810.HK),-31.1,-3.398,38.5,-36.6,-31.1,-2.027,33.4,-37.3,31.0,0.779,48.2,-37.4,1.0
上证指数(000001.IDX),3.2,1.019,11.7,-5.1,15.2,2.762,11.3,-5.1,13.9,1.081,13.7,-10.5,0.413
联想集团(00992.HK),-21.9,-2.787,31.6,-25.5,3.0,0.424,32.4,-25.5,5.9,0.356,48.8,-44.9,0.513
中兴通讯(000063.SZ),-12.6,-0.691,58.9,-33.8,20.6,1.032,54.2,-33.8,24.7,0.693,51.6,-33.8,0.223
