日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-12-10,113.26,46.90,53.00,1.26,-0.72,47.94
2025-12-11,123.14,51.88,57.00,0.96,-0.60,49.89
2025-12-12,243.32,104.95,113.00,1.85,-0.45,53.54
2025-12-15,132.61,55.67,62.00,-2.61,-0.40,48.12
2025-12-16,145.95,59.45,68.00,-2.25,-0.44,44.08
2025-12-17,101.36,41.51,47.00,0.78,-0.44,45.75
2025-12-18,128.20,51.36,60.00,-2.48,-0.52,41.50
2025-12-19,108.59,43.85,50.00,0.85,-0.54,43.39
2025-12-22,165.92,66.14,77.00,-1.82,-0.62,40.34
2025-12-23,127.07,49.87,59.00,-1.51,-0.71,38.00
2025-12-24,41.92,16.45,19.00,0.05,-0.78,38.13
