日期,000400.SZ_close,000400.SZ_volume,000400.SZ_turnover
2024-04-25,26.05,238721608.3,0.87
2024-04-26,25.65,466951338.47,1.73
2024-04-29,25.96,568665892.69,2.09
2024-04-30,25.54,536917470.59,1.99
2024-05-06,25.08,789571474.15,3.02
2024-05-07,25.11,405640907.7,1.54
2024-05-08,25.14,604858436.33,2.27
2024-05-09,26.3,712029135.41,2.62
2024-05-10,27.43,711729070.05,2.52
2024-05-13,28.27,847496463.91,2.9
2024-05-14,27.6,591103424.92,2.04
2024-05-15,26.98,382326600.03,1.34
2024-05-16,26.65,398933732.42,1.43
2024-05-17,26.45,335382660.26,1.22
2024-05-20,27.61,555955228.98,1.96
2024-05-21,27.32,331677187.31,1.16
2024-05-22,26.47,369128333.81,1.33
2024-05-23,26.15,282169674.84,1.04
2024-05-24,27.51,633333281.55,2.21
2024-05-27,29.13,1060201404.92,3.52
2024-05-28,28.93,618375562.09,2.03
2024-05-29,28.76,357968028.24,1.19
2024-05-30,29.18,591777195.64,1.94
2024-05-31,28.72,378183368.03,1.26
2024-06-03,29.94,614598183.14,2.01
2024-06-04,31.99,991141510.08,3.07
2024-06-05,31.15,577183779.68,1.77
2024-06-06,31.02,732662992.89,2.25
2024-06-07,31.15,488806221.89,1.52
2024-06-11,30.78,397187655.13,1.25
2024-06-12,30.68,465438100.02,1.46
2024-06-13,32.19,751403153.03,2.29
2024-06-14,32.07,812742908.02,2.42
2024-06-17,33.26,847782790.5,2.47
2024-06-18,33.25,673681342.47,1.98
2024-06-19,32.74,806301060.35,2.37
2024-06-20,32.13,723911890.13,2.19
2024-06-21,31.96,452647249.37,1.38
2024-06-24,32.15,577538642.92,1.74
2024-06-25,31.8,544391579.75,1.68
2024-06-26,31.76,361768311.86,1.12
2024-06-27,31.19,314562466.82,0.97
2024-06-28,33.75,955184620.4,2.82
2024-07-01,33.93,696560968.44,1.99
2024-07-02,32.45,797577035.29,2.4
2024-07-03,32.0,621603548.97,1.91
2024-07-04,32.15,623275832.67,1.86
2024-07-05,32.06,363746101.77,1.12
2024-07-08,33.19,590707994.54,1.74
2024-07-09,34.39,660384320.43,1.9
2024-07-10,33.36,546737332.1,1.59
2024-07-11,33.07,746758457.25,2.22
2024-07-12,31.38,980410780.4,3.01
2024-07-15,30.26,1006018278.9,3.2
2024-07-16,29.75,766594886.68,2.5
2024-07-17,27.96,1265369284.04,4.34
2024-07-18,28.66,813289226.6,2.76
2024-07-19,28.76,484789766.12,1.63
2024-07-22,29.53,626820402.38,2.06
2024-07-23,28.74,546053206.5,1.81
2024-07-24,28.52,338258371.08,1.14
2024-07-25,28.53,453129101.61,1.55
2024-07-26,29.64,695625597.22,2.32
2024-07-29,29.7,722917733.2,2.33
2024-07-30,29.26,441996806.96,1.48
2024-07-31,29.82,442831282.53,1.46
2024-08-01,29.75,384266385.75,1.24
2024-08-02,29.34,268527844.72,0.88
2024-08-05,28.98,347070958.7,1.15
2024-08-06,28.87,327769089.0,1.11
2024-08-07,30.55,690193275.7,2.21
2024-08-08,30.39,523101544.71,1.68
2024-08-09,29.64,309453209.15,1.0
2024-08-12,29.68,178771637.45,0.58
2024-08-13,30.14,283432958.26,0.91
2024-08-14,29.25,277131580.67,0.91
2024-08-15,28.96,361641037.68,1.22
2024-08-16,27.8,782630955.36,2.72
2024-08-19,27.45,729348670.22,2.58
2024-08-20,27.12,442094571.51,1.59
2024-08-21,26.84,221779410.09,0.8
2024-08-22,27.32,311373507.09,1.11
2024-08-23,27.04,243866723.0,0.87
2024-08-26,27.24,309488099.5,1.11
2024-08-27,26.54,393056850.5,1.43
2024-08-28,26.61,215376016.5,0.78
2024-08-29,26.74,316341701.45,1.14
2024-08-30,27.94,799450678.93,2.74
2024-09-02,27.75,508292537.84,1.76
2024-09-03,29.46,633766211.4,2.11
2024-09-04,29.51,425275364.0,1.4
2024-09-05,29.15,330146262.32,1.1
2024-09-06,28.96,158052443.65,0.53
2024-09-09,28.54,274506046.36,0.93
2024-09-10,28.57,238681797.99,0.81
2024-09-11,28.81,234362563.0,0.79
2024-09-12,29.35,356106454.34,1.18
2024-09-13,29.39,291464785.0,0.96
2024-09-18,30.51,435909711.0,1.39
2024-09-19,29.82,461452733.29,1.5
2024-09-20,29.77,232012220.54,0.76
2024-09-23,29.65,219108625.2,0.71
2024-09-24,29.98,397435811.91,1.29
2024-09-25,30.98,581412017.86,1.83
2024-09-26,30.64,842150114.55,2.71
2024-09-27,31.58,1048305016.93,3.27
2024-09-30,33.53,1204526927.49,3.56
2024-10-08,34.01,1310650732.29,3.71
2024-10-09,33.42,1245826953.9,3.56
2024-10-10,33.23,771717447.93,2.21
2024-10-11,32.03,592793464.09,1.78
2024-10-14,31.35,995012667.53,3.11
2024-10-15,29.85,1055437042.53,3.42
2024-10-16,29.9,502050759.13,1.63
2024-10-17,29.21,522882492.24,1.71
2024-10-18,30.23,734808764.45,2.36
2024-10-21,29.62,665451304.11,2.18
2024-10-22,30.55,563707966.32,1.8
2024-10-23,29.82,638908118.65,2.07
2024-10-24,29.65,362948612.2,1.2
2024-10-25,28.72,962983727.66,3.26
2024-10-28,29.28,719450294.08,2.42
2024-10-29,29.92,717121214.89,2.33
2024-10-30,29.86,584616997.48,1.91
2024-10-31,29.87,617192449.56,2.01
2024-11-01,30.54,964069076.86,3.08
2024-11-04,30.74,720521757.78,2.28
2024-11-05,30.72,840079373.7,2.69
2024-11-06,30.68,746283949.34,2.36
2024-11-07,30.63,658546773.44,2.1
2024-11-08,31.15,1026159701.55,3.21
2024-11-11,30.14,1083383937.47,3.51
2024-11-12,29.79,751141658.66,2.44
2024-11-13,30.24,560843160.66,1.82
2024-11-14,29.2,738841096.58,2.44
2024-11-15,29.01,456160750.32,1.53
2024-11-18,28.23,520714167.68,1.77
2024-11-19,27.25,1391325383.52,4.98
2024-11-20,27.45,529890475.73,1.88
2024-11-21,27.83,529878148.65,1.86
2024-11-22,26.71,465650586.13,1.66
2024-11-25,26.01,423521291.02,1.57
2024-11-26,25.62,497957934.87,1.88
2024-11-27,26.06,494429759.65,1.89
2024-11-28,25.04,624389499.49,2.4
2024-11-29,25.33,521367188.52,2.02
2024-12-02,26.05,609038575.42,2.3
2024-12-03,27.07,1018884065.66,3.68
2024-12-04,27.0,453055451.87,1.64
2024-12-05,26.45,391954873.94,1.44
2024-12-06,26.45,411436724.21,1.52
2024-12-09,26.75,387259945.84,1.41
2024-12-10,26.6,497089106.54,1.8
2024-12-11,26.94,490021004.16,1.77
2024-12-12,26.83,315116507.4,1.15
2024-12-13,26.42,356924767.89,1.31
2024-12-16,26.71,531329869.58,1.93
2024-12-17,27.23,718902924.02,2.59
2024-12-18,27.68,626290600.81,2.21
2024-12-19,27.96,557407306.76,1.95
2024-12-20,27.44,420375794.03,1.48
2024-12-23,27.86,733980434.04,2.53
