,中国中铁_收盘,上证指数_收盘,中国铁建_收盘,中国交建_收盘
中国中铁_收盘,1.0,0.59079284711559,0.9292045044537076,0.8708085393708169
上证指数_收盘,0.59079284711559,1.0,0.6058123159770057,0.5948850529366279
中国铁建_收盘,0.9292045044537076,0.6058123159770057,1.0,0.8985735789273098
中国交建_收盘,0.8708085393708169,0.5948850529366279,0.8985735789273098,1.0
