,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
中国中铁(601390.SH),-0.2,0.126,16.3,-8.8,1.3,0.213,17.8,-12.5,-10.8,-0.567,18.4,-18.1,1.0
上证指数(000001.IDX),3.7,1.242,11.7,-5.1,14.9,2.512,11.2,-5.1,17.0,1.224,13.5,-9.7,0.591
中国铁建(601186.SH),-1.4,-0.231,10.7,-5.9,0.8,0.176,15.7,-12.8,-12.1,-0.622,17.6,-19.5,0.929
中国交建(601800.SH),-5.0,-1.323,12.2,-7.8,-4.5,-0.392,21.9,-19.9,-17.6,-0.756,23.0,-21.1,0.871
