,正泰电器_收盘,上证指数_收盘,阳光电源_收盘,天合光能_收盘
正泰电器_收盘,1.0,0.6014630818798095,0.47747594694507683,0.5296626503351242
上证指数_收盘,0.6014630818798095,1.0,0.4303398618416673,0.47915199635953243
阳光电源_收盘,0.47747594694507683,0.4303398618416673,1.0,0.6493437407078263
天合光能_收盘,0.5296626503351242,0.47915199635953243,0.6493437407078263,1.0
