日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-05-13,11.80,2.72,0.55,0.49,0.00,58.71
2025-05-14,10.01,2.30,0.47,-0.31,0.03,56.91
2025-05-15,7.73,1.77,0.36,-0.54,0.04,53.86
2025-05-16,6.78,1.55,0.32,-0.04,0.04,53.60
2025-05-19,6.60,1.50,0.31,-0.58,0.04,50.24
2025-05-20,6.32,1.43,0.29,0.09,0.03,50.75
2025-05-21,6.98,1.59,0.32,-0.09,0.03,50.19
2025-05-22,5.99,1.36,0.28,0.09,0.03,50.77
2025-05-23,9.35,2.11,0.43,-1.90,-0.01,40.17
2025-05-26,7.47,1.66,0.35,-0.69,-0.05,37.18
2025-05-27,5.66,1.25,0.26,-0.56,-0.09,34.95
