,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
正泰电器(601877.SH),-11.2,-1.425,27.3,-16.4,-2.8,-0.039,28.1,-16.4,7.6,0.356,31.7,-20.0,1.0
上证指数(000001.IDX),-1.0,-0.163,17.9,-9.7,0.5,0.12,16.4,-10.5,6.2,0.398,19.9,-14.7,0.601
阳光电源(300274.SZ),-11.0,-0.527,53.5,-23.2,-25.4,-1.336,44.4,-34.5,-16.8,-0.113,54.1,-53.3,0.477
天合光能(688599.SH),-21.1,-1.786,48.1,-29.4,-43.3,-2.604,40.8,-48.7,-35.3,-0.483,57.3,-55.4,0.53
