日期,01801.HK_close,01801.HK_volume,01801.HK_turnover
2024-04-10,37.5,5468693.0,
2024-04-11,37.4,5970402.0,
2024-04-12,37.35,3804624.0,
2024-04-15,35.85,5788923.0,
2024-04-16,34.7,5838579.0,
2024-04-17,34.3,6394614.0,
2024-04-18,33.7,8517389.0,
2024-04-19,33.2,5694087.0,
2024-04-22,33.95,6874289.0,
2024-04-23,36.15,8682141.0,
2024-04-24,38.15,9468453.0,
2024-04-25,38.55,7877936.0,
2024-04-26,39.15,7286643.0,
2024-04-29,39.75,8879787.0,
2024-04-30,38.25,8629492.0,
2024-05-02,41.85,7914927.0,
2024-05-03,40.9,7413177.0,
2024-05-06,40.5,9315540.0,
2024-05-07,39.9,5391500.0,
2024-05-08,40.0,6119654.0,
2024-05-09,40.55,5760382.0,
2024-05-10,41.4,7296405.0,
2024-05-13,39.5,8373208.0,
2024-05-14,39.45,4647130.0,
2024-05-16,39.8,5678689.0,
2024-05-17,40.05,6899109.0,
2024-05-20,40.15,6270008.0,
2024-05-21,38.2,7394060.0,
2024-05-22,38.0,3666035.0,
2024-05-23,37.0,4720485.0,
2024-05-24,35.9,11277147.0,
2024-05-27,36.15,5317988.0,
2024-05-28,36.8,5504891.0,
2024-05-29,35.8,7693126.0,
2024-05-30,35.25,3789772.0,
2024-05-31,35.2,9758852.0,
2024-06-03,34.4,5078754.0,
2024-06-04,36.8,6566248.0,
2024-06-05,37.1,5682481.0,
2024-06-06,35.75,4139287.0,
2024-06-07,35.8,2428439.0,
2024-06-11,34.85,4824110.0,
2024-06-12,35.3,4054200.0,
2024-06-13,36.25,4044757.0,
2024-06-14,38.3,10033932.0,
2024-06-17,38.05,5597889.0,
2024-06-18,37.4,5431783.0,
2024-06-19,38.15,4987832.0,
2024-06-20,37.15,10756021.0,
2024-06-21,36.8,5993903.0,
2024-06-24,37.3,4192040.0,
2024-06-25,37.95,4441163.0,
2024-06-26,39.5,9132364.0,
2024-06-27,39.05,4281335.0,
2024-06-28,36.8,8441281.0,
2024-07-02,37.4,4411391.0,
2024-07-03,38.05,3119610.0,
2024-07-04,37.0,3008119.0,
2024-07-05,39.65,7246592.0,
2024-07-08,37.8,7449874.0,
2024-07-09,36.6,7750739.0,
2024-07-10,36.1,4674456.0,
2024-07-11,38.35,7192800.0,
2024-07-12,40.7,9267552.0,
2024-07-15,39.1,4319981.0,
2024-07-16,39.85,3968289.0,
2024-07-17,41.15,11815683.0,
2024-07-18,40.75,1810217.0,
2024-07-19,40.55,5105452.0,
2024-07-22,42.2,7042472.0,
2024-07-23,40.85,4384940.0,
2024-07-24,40.25,5379099.0,
2024-07-25,38.65,6008189.0,
2024-07-26,38.9,3707031.0,
2024-07-29,37.4,6168345.0,
2024-07-30,36.8,4606719.0,
2024-07-31,38.7,7019660.0,
2024-08-01,38.95,6695416.0,
2024-08-02,39.25,7205926.0,
2024-08-05,39.95,9067208.0,
2024-08-06,41.3,8978863.0,
2024-08-07,40.3,5714201.0,
2024-08-08,41.15,8742977.0,
2024-08-09,41.65,7698678.0,
2024-08-12,42.0,5108239.0,
2024-08-13,42.0,5112401.0,
2024-08-14,41.05,4622124.0,
2024-08-15,41.8,3876354.0,
2024-08-16,40.9,4958327.0,
2024-08-19,40.7,4398584.0,
2024-08-20,41.45,3291855.0,
2024-08-21,43.45,10997767.0,
2024-08-22,43.95,6699782.0,
2024-08-23,43.45,6529112.0,
2024-08-26,43.5,7060403.0,
2024-08-27,44.3,4312100.0,
2024-08-28,44.1,6804836.0,
2024-08-29,43.5,6860258.0,
2024-08-30,42.45,7244406.0,
2024-09-02,42.4,2845616.0,
2024-09-03,42.45,3783206.0,
2024-09-04,42.95,4180243.0,
2024-09-05,43.15,2798369.0,
2024-09-09,41.75,6352296.0,
2024-09-10,42.25,3647152.0,
2024-09-11,43.3,6629663.0,
2024-09-12,42.95,5908324.0,
2024-09-13,44.05,7451834.0,
2024-09-16,44.2,2663754.0,
2024-09-17,43.8,1593000.0,
2024-09-19,42.15,10674404.0,
2024-09-20,42.6,7227405.0,
2024-09-23,41.8,3902954.0,
2024-09-24,41.4,11462541.0,
2024-09-25,42.35,8385158.0,
2024-09-26,44.8,11992214.0,
2024-09-27,46.6,15878571.0,
2024-09-30,47.1,21176563.0,
2024-10-02,46.6,13981497.0,
2024-10-03,45.9,7265145.0,
2024-10-04,51.15,13176730.0,
2024-10-07,49.8,22369742.0,
2024-10-08,49.05,52919385.0,
2024-10-09,47.4,24235804.0,
2024-10-10,48.85,18504327.0,
2024-10-14,46.2,12255331.0,
2024-10-15,44.6,10448243.0,
2024-10-16,43.85,8303636.0,
2024-10-17,44.85,10656337.0,
2024-10-18,46.45,5528279.0,
2024-10-21,45.55,6301236.0,
2024-10-22,45.7,5722376.0,
2024-10-23,45.0,6681851.0,
2024-10-24,43.8,9960855.0,
2024-10-25,44.25,8682706.0,
2024-10-28,38.7,49273866.0,
2024-10-29,37.15,45897178.0,
2024-10-30,35.5,29435696.0,
2024-10-31,33.8,28304453.0,
2024-11-01,35.05,23109352.0,
2024-11-04,39.55,40865087.0,
2024-11-05,39.2,17934666.0,
2024-11-06,38.15,11276766.0,
2024-11-07,37.45,15985664.0,
2024-11-08,38.85,16108103.0,
2024-11-11,37.3,16109626.0,
2024-11-12,37.75,14011711.0,
2024-11-13,37.15,9990996.0,
2024-11-14,37.7,9863683.0,
2024-11-15,37.2,6219874.0,
2024-11-18,35.95,8644793.0,
2024-11-19,35.9,5251397.0,
2024-11-20,38.8,20854284.0,
2024-11-21,38.5,9518049.0,
2024-11-22,37.0,6116123.0,
2024-11-25,37.1,13515410.0,
2024-11-26,38.4,7218659.0,
2024-11-27,39.35,11415857.0,
2024-11-28,39.15,6205137.0,
2024-11-29,38.55,7052864.0,
2024-12-02,38.65,8727890.0,
2024-12-03,38.0,10382101.0,
2024-12-04,37.55,10350681.0,
2024-12-05,37.65,9356637.0,
2024-12-06,37.8,7899257.0,
2024-12-09,39.1,5381567.0,
2024-12-10,38.15,5024627.0,
2024-12-11,38.2,4592040.0,
2024-12-12,38.1,5026654.0,
2024-12-13,37.4,4434799.0,
2024-12-16,36.25,9482321.0,
2024-12-17,36.2,5366256.0,
2024-12-18,36.5,4902580.0,
2024-12-19,36.0,5321808.0,
2024-12-20,35.2,8289830.0,
2024-12-23,35.05,7038339.0,
2024-12-24,35.8,4634929.0,
2024-12-27,35.6,7360463.0,
2024-12-30,36.1,8410729.0,
2024-12-31,36.6,3178987.0,
2025-01-02,35.5,6499614.0,
2025-01-03,35.45,5093290.0,
2025-01-06,35.3,5078949.0,
2025-01-07,35.15,5526262.0,
2025-01-08,33.95,10872775.0,
2025-01-09,33.1,9748926.0,
2025-01-10,33.55,9207538.0,
2025-01-13,33.85,8761451.0,
2025-01-14,34.65,4703219.0,
2025-01-15,33.45,5830032.0,
2025-01-16,30.0,43198071.0,
2025-01-17,31.45,19573300.0,
2025-01-20,31.05,16679814.0,
2025-01-21,31.3,8560629.0,
2025-01-22,31.9,14249418.0,
2025-01-23,31.65,7738811.0,
2025-01-24,32.35,8377822.0,
2025-01-27,33.0,4905075.0,
2025-01-28,33.05,1259000.0,
2025-02-03,32.75,3846192.0,
2025-02-04,33.15,1778368.0,
2025-02-05,33.05,6546546.0,
2025-02-06,35.8,15947057.0,
2025-02-07,36.25,11951937.0,
2025-02-10,36.35,9516738.0,
2025-02-11,35.9,7660163.0,
2025-02-12,35.5,12744479.0,
2025-02-13,35.85,11985133.0,
2025-02-14,37.5,17503292.0,
2025-02-17,38.5,21450533.0,
2025-02-18,38.1,14517523.0,
2025-02-19,38.5,7801488.0,
2025-02-20,39.3,12408854.0,
2025-02-21,41.7,22199079.0,
2025-02-24,40.45,20905431.0,
2025-02-25,40.35,11740162.0,
2025-02-26,43.05,21011556.0,
2025-02-27,43.2,19569134.0,
2025-02-28,40.45,22102385.0,
2025-03-03,40.65,11954071.0,
2025-03-04,40.4,9972710.0,
2025-03-05,40.15,12526479.0,
2025-03-06,40.35,20676392.0,
2025-03-07,40.2,11857173.0,
2025-03-10,39.0,12313364.0,
2025-03-11,39.8,11531614.0,
2025-03-12,38.9,9470828.0,
2025-03-13,39.3,8158367.0,
2025-03-14,40.95,14303310.0,
2025-03-17,40.05,9673348.0,
2025-03-18,40.8,12679817.0,
2025-03-19,41.7,21588700.0,
2025-03-20,43.2,19188053.0,
2025-03-21,40.6,15272525.0,
2025-03-24,40.35,11127696.0,
2025-03-25,39.15,7953742.0,
2025-03-26,39.05,8814364.0,
2025-03-27,45.85,57294838.0,
2025-03-28,46.2,30690543.0,
2025-03-31,46.6,28522798.0,
2025-04-01,48.85,40594818.0,
2025-04-02,49.85,25948109.0,
2025-04-03,50.25,24882726.0,
2025-04-07,39.65,48084048.0,
2025-04-08,42.05,30352283.0,
2025-04-09,42.2,40219476.0,
2025-04-10,43.7,28844060.0,
2025-04-11,47.75,34047743.0,
2025-04-14,48.4,21886179.0,
2025-04-15,48.35,14482132.0,
2025-04-16,46.15,17258565.0,
2025-04-17,47.25,12575206.0,
2025-04-22,52.45,29017202.0,
2025-04-23,51.45,24722960.0,
2025-04-24,54.95,37349072.0,
2025-04-25,54.35,18133490.0,
2025-04-28,54.2,23517584.0,
2025-04-29,53.65,65920684.0,
2025-04-30,53.75,15030318.0,
2025-05-02,54.9,6270797.0,
2025-05-06,54.3,14802751.0,
2025-05-07,52.3,32641453.0,
2025-05-08,51.7,18523753.0,
2025-05-09,52.4,9412603.0,
2025-05-12,49.4,32074408.0,
2025-05-13,50.0,16962764.0,
2025-05-14,50.1,11161167.0,
2025-05-15,49.95,13444995.0,
2025-05-16,51.0,15280011.0,
2025-05-19,53.05,14221053.0,
2025-05-20,55.3,25582041.0,
2025-05-21,55.9,18557774.0,
2025-05-22,56.25,11829261.0,
2025-05-23,58.6,48078191.0,
2025-05-26,56.55,23071579.0,
2025-05-27,59.55,17945902.0,
2025-05-28,60.2,13814019.0,
2025-05-29,62.1,24563744.0,
2025-05-30,61.95,21250571.0,
2025-06-02,63.1,7680120.0,
2025-06-03,65.05,23126470.0,
2025-06-04,74.25,60950873.0,
2025-06-05,72.3,31001985.0,
2025-06-06,73.15,23944479.0,
2025-06-09,79.0,41511020.0,
2025-06-10,81.1,76412060.0,
2025-06-11,79.95,27507714.0,
2025-06-12,80.75,27859002.0,
2025-06-13,80.7,35109754.0,
2025-06-16,80.3,25560196.0,
2025-06-17,77.1,25918261.0,
2025-06-18,78.6,18019049.0,
2025-06-19,78.45,31178257.0,
2025-06-20,77.7,21547044.0,
2025-06-23,78.9,21715603.0,
2025-06-24,82.1,23198351.0,
2025-06-25,82.4,16763657.0,
2025-06-26,78.6,41894602.0,
2025-06-27,77.35,35203770.0,
2025-06-30,78.4,27799285.0,
2025-07-02,79.3,29389722.0,
2025-07-03,84.6,29257550.0,
2025-07-04,86.2,21770018.0,
2025-07-07,82.55,23823699.0,
2025-07-08,82.35,17584187.0,
2025-07-09,82.25,17089853.0,
2025-07-10,80.25,17467848.0,
2025-07-11,80.55,17696166.0,
2025-07-14,82.0,17319035.0,
2025-07-15,85.9,20341034.0,
2025-07-16,86.2,13874379.0,
2025-07-17,89.1,25428845.0,
2025-07-18,89.05,15552338.0,
2025-07-21,88.65,10483351.0,
2025-07-22,87.6,17778049.0,
2025-07-23,88.0,20305570.0,
2025-07-24,88.2,20662213.0,
2025-07-25,89.15,19114615.0,
2025-07-28,93.9,17709916.0,
2025-07-29,99.95,27139490.0,
2025-07-30,98.45,53711910.0,
2025-07-31,98.0,21002134.0,
2025-08-01,93.0,24052833.0,
2025-08-04,92.9,15855227.0,
2025-08-05,98.75,17692363.0,
2025-08-06,98.05,13318611.0,
2025-08-07,91.4,32235490.0,
2025-08-08,91.25,18274901.0,
2025-08-11,89.95,30762712.0,
2025-08-12,87.3,25300254.0,
2025-08-13,95.0,26739588.0,
2025-08-14,96.0,16527182.0,
2025-08-15,97.5,13549158.0,
2025-08-18,101.9,20740825.0,
2025-08-19,97.75,24023054.0,
2025-08-20,94.65,17538128.0,
2025-08-21,99.3,10889562.0,
2025-08-22,99.45,11623171.0,
2025-08-25,99.95,14911542.0,
2025-08-26,95.75,43626515.0,
2025-08-27,91.0,30586612.0,
2025-08-28,90.65,22635180.0,
2025-08-29,96.85,26710648.0,
2025-09-01,105.4,27986303.0,
2025-09-02,105.3,15122561.0,
2025-09-03,107.0,13063627.0,
2025-09-04,100.1,20809884.0,
2025-09-05,103.1,19459787.0,
2025-09-08,100.5,27413434.0,
2025-09-09,100.9,14814575.0,
2025-09-10,99.6,12256843.0,
2025-09-11,97.1,51240460.0,
2025-09-12,97.85,13419082.0,
2025-09-15,95.6,20045883.0,
2025-09-16,96.25,14137833.0,
2025-09-17,96.5,20913052.0,
2025-09-18,97.35,16918205.0,
2025-09-19,92.05,34618371.0,
2025-09-22,94.7,13572187.0,
2025-09-23,93.45,12486370.0,
2025-09-24,95.05,13606787.0,
2025-09-25,95.05,10693475.0,
2025-09-26,93.25,13980978.0,
2025-09-29,93.6,12535427.0,
2025-09-30,96.4,18545906.0,
2025-10-02,100.7,6797155.0,
2025-10-03,97.95,3578711.0,
2025-10-06,100.5,3031024.0,
2025-10-08,104.7,6194648.0,
2025-10-09,95.1,25616568.0,
2025-10-10,93.95,13129629.0,
2025-10-13,90.0,27147340.0,
2025-10-14,83.8,31965432.0,
