日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-03-13,33.60,12.78,0.88,0.14,0.13,59.08
2025-03-14,48.95,18.81,1.28,1.25,0.20,63.05
2025-03-17,53.22,20.88,1.40,1.85,0.32,68.06
2025-03-18,42.14,16.29,1.11,-1.47,0.36,60.85
2025-03-19,30.87,11.90,0.81,0.27,0.40,61.63
2025-03-20,42.56,16.39,1.12,-1.23,0.39,56.09
2025-03-21,54.26,20.82,1.42,0.84,0.40,58.78
2025-03-24,30.54,11.66,0.80,-0.85,0.38,55.03
2025-03-25,30.49,11.68,0.80,0.92,0.38,58.09
2025-03-26,93.71,37.14,2.46,3.55,0.49,67.42
2025-03-27,35.48,14.14,0.93,-0.46,0.55,65.30
