,牧原股份_收盘,上证指数_收盘,温氏股份_收盘,新希望六和股份有限公司_收盘
牧原股份_收盘,1.0,0.387119795904775,0.7606764704755425,0.7363962890275517
上证指数_收盘,0.387119795904775,1.0,0.3648642325581221,0.513098810167014
温氏股份_收盘,0.7606764704755425,0.3648642325581221,1.0,0.6929130805837261
新希望六和股份有限公司_收盘,0.7363962890275517,0.513098810167014,0.6929130805837261,1.0
