,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
牧原股份(002714.SZ),4.4,0.629,21.0,-6.4,8.6,0.669,31.5,-20.2,4.2,0.191,29.5,-27.8,1.0
上证指数(000001.IDX),0.2,0.1,13.4,-7.2,24.8,1.925,24.0,-9.4,10.8,0.619,18.8,-14.7,0.387
温氏股份(300498.SZ),1.8,0.296,17.3,-7.5,9.5,0.627,36.9,-26.4,-6.4,-0.129,32.7,-31.6,0.761
新希望六和股份有限公司(000876.SZ),1.4,0.234,31.2,-10.6,12.5,0.856,34.3,-20.7,5.4,0.289,30.8,-22.5,0.736
