symbol,stock_name
301389.SZ,鸿日达
09988.HK,阿里巴巴-W
00700.HK,腾讯控股
00005.HK,汇丰控股
000001.IDX,上证指数
000300.IDX,沪深300
000905.IDX,中证500
399001.IDX,深证成指
399006.IDX,创业板指
000688.IDX,科创50
600406.SH,国电南瑞
000400.SZ,许继电气
601126.SH,四方股份
002028.SZ,思源电气
02380.HK,中国电力
000682.SZ,东方电子
002415.SZ,海康威视
002236.SZ,大华股份
688475.SH,萤石网络
02382.HK,舜宇光学科技
00020.HK,商汤-W
002230.SZ,科大讯飞
300274.SZ,阳光电源
002714.SZ,牧原股份
09618.HK,京东集团-SW
002352.SZ,顺丰控股
603501.SH,豪威集团
600276.SH,恒瑞医药
002371.SZ,北方华创
601877.SH,正泰电器
688099.SH,晶晨股份
002027.SZ,分众传媒
300498.SZ,温氏股份
000876.SZ,新希望
00636.HK,KLN
09699.HK,顺丰同城
02057.HK,中通快递-W
02618.HK,京东物流
600233.SH,圆通速递
518800.SH,黄金基金ETF
600547.SH,山东黄金
601899.SH,紫金矿业
600489.SH,中金黄金
600988.SH,赤峰黄金
01818.HK,招金矿业
000895.SZ,双汇发展
002157.SZ,正邦科技
00288.HK,万洲国际
688599.SH,天合光能
002706.SZ,良信股份
601012.SH,隆基绿能
605066.SH,天正电气
300763.SZ,锦浪科技
300750.SZ,宁德时代
688390.SH,固德威
002518.SZ,科士达
300014.SZ,亿纬锂能
688012.SH,中微公司
688082.SH,盛美上海
688235.SH,百济神州
600196.SH,复星医药
01801.HK,信达生物
01093.HK,石药集团
01177.HK,中国生物制药
688728.SH,格科微
688213.SH,思特威
688981.SH,中芯国际
600584.SH,长电科技
603986.SH,兆易创新
688072.SH,拓荆科技
688120.SH,华海清科
688037.SH,芯源微
300251.SZ,光线传媒
300058.SZ,蓝色光标
603893.SH,瑞芯微
300458.SZ,全志科技
600519.SH,贵州茅台
601318.SH,中国平安
600036.SH,招商银行
600900.SH,长江电力
513300.SH,纳斯达克ETF
600089.SH,特变电工
300124.SZ,汇川技术
600179.SH,安通控股
002747.SZ,埃斯顿
002334.SZ,英威腾
601179.SH,中国西电
600312.SH,平高电气
002594.SZ,比亚迪
002460.SZ,赣锋锂业
000001.SZ,平安银行
01810.HK,小米集团-W
00992.HK,联想集团
000063.SZ,中兴通讯
000792.SZ,盐湖股份
002466.SZ,天齐锂业
00285.HK,比亚迪电子
300760.SZ,迈瑞医疗
601390.SH,中国中铁
603195.SH,公牛集团
000333.SZ,美的集团
600690.SH,海尔智家
601186.SH,中国铁建
601800.SH,中国交建
688271.SH,联影医疗
300003.SZ,乐普医疗
