,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
公牛集团(603195.SH),-7.4,-1.914,13.4,-9.0,-12.5,-2.262,12.2,-14.9,-15.1,-1.01,17.2,-21.8,1.0
上证指数(000001.IDX),3.7,1.242,11.7,-5.1,14.9,2.512,11.2,-5.1,17.0,1.224,13.5,-9.7,0.45
美的集团(000333.SZ),7.9,2.185,15.2,-4.4,8.6,1.172,14.8,-7.0,13.6,0.678,20.4,-14.7,0.383
海尔智家(600690.SH),5.6,1.246,17.0,-4.9,13.2,1.297,19.3,-7.1,-0.8,0.057,23.6,-20.0,0.456
