,公牛集团_收盘,上证指数_收盘,美的集团_收盘,海尔智家_收盘
公牛集团_收盘,1.0,0.4496343028833125,0.38291168084883614,0.4557173265087209
上证指数_收盘,0.4496343028833125,1.0,0.4124836055649682,0.47095668422446724
美的集团_收盘,0.38291168084883614,0.4124836055649682,1.0,0.7055777570452925
海尔智家_收盘,0.4557173265087209,0.47095668422446724,0.7055777570452925,1.0
