,晶晨股份_收盘,上证指数_收盘,瑞芯微_收盘,全志科技_收盘
晶晨股份_收盘,1.0,0.6049270326303632,0.7483197578747328,0.7013858245034669
上证指数_收盘,0.6049270326303632,1.0,0.4226381139912091,0.5004335809785465
瑞芯微_收盘,0.7483197578747328,0.4226381139912091,1.0,0.6763535302833539
全志科技_收盘,0.7013858245034669,0.5004335809785465,0.6763535302833539,1.0
