,国电南瑞_收盘,上证指数_收盘,许继电气_收盘,四方股份_收盘
国电南瑞_收盘,1.0,0.41496075230828355,0.6139026289396649,0.49175567367262757
上证指数_收盘,0.41496075230828355,1.0,0.41752200072473716,0.4182507052751032
许继电气_收盘,0.6139026289396649,0.41752200072473716,1.0,0.6092605333401738
四方股份_收盘,0.49175567367262757,0.4182507052751032,0.6092605333401738,1.0
