,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
国电南瑞(600406.SH),2.7,0.562,23.6,-12.9,2.8,0.321,21.7,-12.9,-3.0,-0.11,21.3,-14.0,1.0
上证指数(000001.IDX),3.7,1.242,11.7,-5.1,14.9,2.512,11.2,-5.1,17.0,1.224,13.5,-9.7,0.415
许继电气(000400.SZ),9.4,1.465,38.6,-14.7,28.1,1.562,34.9,-14.7,-0.9,0.166,32.7,-28.5,0.614
四方股份(601126.SH),78.4,4.055,62.9,-24.5,99.8,3.094,47.8,-24.5,98.5,1.863,41.7,-24.5,0.492
