SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,PER_NETCASH_OPERATE,PER_OI,BPS,BASIC_EPS,DILUTED_EPS,OPERATE_INCOME,OPERATE_INCOME_YOY,GROSS_PROFIT,GROSS_PROFIT_YOY,HOLDER_PROFIT,HOLDER_PROFIT_YOY,GROSS_PROFIT_RATIO,EPS_TTM,OPERATE_INCOME_QOQ,NET_PROFIT_RATIO,ROE_AVG,GROSS_PROFIT_QOQ,ROA,HOLDER_PROFIT_QOQ,ROE_YEARLY,ROIC_YEARLY,TAX_EBT,OCF_SALES,DEBT_ASSET_RATIO,CURRENT_RATIO,CURRENTDEBT_DEBT,START_DATE,FISCAL_YEAR,CURRENCY,IS_CNY_CODE
01801.HK,01801,信达生物,10946973,2021-06-30,002,-0.696243212561,1.331376468076,6.918480705036,-0.69,-0.69,1941750000,97.2910142795,1724872000,115.77379723764,-1003558000,-93.2459050895,87.909978112527,-1.073423005898,24.911266633523,-60.5283893395,-11.363832486371,26.261220153134,-8.30855033961,-56.801289235703,-22.727664972742,-50.20701728193,-0.015148404534,-52.294991631261,27.6561256766,5.992012893567,49.255402852797,2021-01-01 00:00:00,12-31,HKD,0
01801.HK,01801,信达生物,10946973,2021-12-31,001,-1.384878600241,2.920254222637,6.003248824107,-1.88,-1.88,4269729000,11.0803864594,3764392000,8.921551663774,-2728755000,-214.3015821983,86.579007707515,-2.146251559316,-11.072564186461,-73.4953670362,-32.841711953642,-15.284688705195,-22.351832486316,-100.445789527811,-32.841711953642,-52.573472406639,-3.294751103165,-47.423220536947,36.4037212428,3.787105247886,51.579300006967,2021-01-01 00:00:00,12-31,HKD,0
01801.HK,01801,信达生物,10946973,2022-06-30,002,-0.549729582695,1.526187368118,5.573619267915,-0.65,-0.65,2239599000,15.339204326,1768071000,2.504475694428,-950468000,5.2901775483,78.945873792585,-2.102265433103,6.975829145128,-42.4392045183,-9.542139098351,1.168586267333,-5.866661267881,1.691813363254,-19.084278196703,-24.204481659681,4.849676447975,-36.019796401052,40.6441818879,3.215184805429,53.014787108425,2022-01-01 00:00:00,12-31,HKD,0
01801.HK,01801,信达生物,10946973,2022-12-31,001,-1.250518292252,2.969472930247,6.23543835895,-1.46,-1.46,4556380000,6.7135642567,3625390000,-3.69254849123,-2179270000,20.1368389614,79.567331960899,-1.420268562477,-0.245162753652,-47.8289782678,-20.695481451254,-3.061535532615,-12.882679459236,29.358309970006,-20.695481451254,-26.751588447299,-0.405488399051,-42.112466475579,38.9957157505,3.288384366932,51.016927505534,2022-01-01 00:00:00,12-31,HKD,0
01801.HK,01801,信达生物,10946973,2023-06-30,002,-0.404285634512,1.753421672131,6.266393709297,-0.09,-0.09,2701532000,20.6257012974,2196917000,24.255021432963,-139149000,85.3599489935,81.321154071097,-0.887864711509,10.138157923615,-5.1507440963,-1.293617127298,11.828961849622,-0.784249938729,37.228934459704,-2.587234254596,-2.981646989851,45.668055398287,-23.056954350346,39.7485874197,3.963603025138,40.378648936668,2023-01-01 00:00:00,12-31,HKD,0
01801.HK,01801,信达生物,10946973,2023-12-31,001,0.091137737938,3.826582648578,7.280086709848,-0.66,-0.66,6206070000,36.2061548861,5069804000,39.841617039822,-1027913000,52.8322328119,81.691054080924,-0.633797886593,23.668451927969,-16.5630261985,-8.839399540708,25.04955310939,-5.379461409106,24.857469309939,-8.839399540708,-10.819403969847,10.179734378645,2.381700496449,39.2671626422,2.999449832202,55.270841340239,2023-01-01 00:00:00,12-31,HKD,0
01801.HK,01801,信达生物,10946973,2024-06-30,002,-0.132419677638,2.427080609504,7.221272822663,-0.24,-0.24,3952291000,46.2981375012,3274740000,49.060706435428,-392620000,-182.1579745453,82.856753209721,-0.78689101074,20.153801036727,-9.9339851241,-3.146755694638,21.2596581643,-1.918820529923,-24.658798945047,-6.293511389277,-6.916678223972,-0.008915266758,-5.455924171575,38.7733537199,2.676794821166,52.451405597585,2024-01-01 00:00:00,12-31,HKD,0
01801.HK,01801,信达生物,10946973,2024-12-31,001,0.785658428003,5.751552197082,7.623036287396,-0.06,-0.06,9421888000,51.8173014484,7911678000,56.054908631576,-94631000,90.7938706875,83.971259263536,-0.057767098904,26.352475026583,-1.0043740703,-0.737998487833,28.694828101965,-0.448169950994,92.614938223046,-0.737998487833,-0.767184595245,-20.363516108928,13.659937371363,39.27708801,2.351372174355,51.490093016124,2024-01-01 00:00:00,12-31,HKD,0
01801.HK,01801,信达生物,10946973,2025-06-30,002,0.189755487984,3.600249412729,8.380875774328,0.51,0.49,5953094000,50.6238786567,5119642000,56.337358080336,834321000,312.5008914472,85.999683525911,0.68478650136,21.235690766012,14.0149139254,6.059075259366,23.318719492881,3.691941172746,1296.55292663081,12.118150518732,11.855971266726,6.999755884684,5.270620621814,38.8757576415,2.612062406009,54.646958087107,2025-01-01 00:00:00,12-31,HKD,0
