SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004001002,物业厂房及设备,10490949000.0,2025-06-30 00:00:00
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004001003,投资物业,23374000.0,2025-06-30 00:00:00
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004001004,无形资产,110190000.0,2025-06-30 00:00:00
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004001005,商誉,2119000.0,2025-06-30 00:00:00
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004001009,递延税项资产,213932000.0,2025-06-30 00:00:00
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004001010,预付款项,1031049000.0,2025-06-30 00:00:00
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004001013,联营公司权益,1899677000.0,2025-06-30 00:00:00
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004001022,指定以公允价值记账之金融资产,18020000.0,2025-06-30 00:00:00
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004001030,中长期存款,485000000.0,2025-06-30 00:00:00
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004001997,非流动资产其他项目,988963000.0,2025-06-30 00:00:00
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004001999,非流动资产合计,15263273000.0,2025-06-30 00:00:00
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004002001,存货,5762020000.0,2025-06-30 00:00:00
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004002003,应收帐款,9071388000.0,2025-06-30 00:00:00
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004002006,应收关联方款项,6147000.0,2025-06-30 00:00:00
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004002009,受限制存款及现金,268558000.0,2025-06-30 00:00:00
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,004002010,现金及等价物,8458961000.0,2025-06-30 00:00:00
