SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,PER_NETCASH_OPERATE,PER_OI,BPS,BASIC_EPS,DILUTED_EPS,OPERATE_INCOME,OPERATE_INCOME_YOY,GROSS_PROFIT,GROSS_PROFIT_YOY,HOLDER_PROFIT,HOLDER_PROFIT_YOY,GROSS_PROFIT_RATIO,EPS_TTM,OPERATE_INCOME_QOQ,NET_PROFIT_RATIO,ROE_AVG,GROSS_PROFIT_QOQ,ROA,HOLDER_PROFIT_QOQ,ROE_YEARLY,ROIC_YEARLY,TAX_EBT,OCF_SALES,DEBT_ASSET_RATIO,CURRENT_RATIO,CURRENTDEBT_DEBT,START_DATE,FISCAL_YEAR,CURRENCY,IS_CNY_CODE
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,2.152366339643,17.950157872892,23.759457393683,1.5156,1.5096,19651919000,4.1976911728,3894448000,19.959131107886,1646133000,52.5601340493,19.817138468767,2.983441431751,2.06738353044,8.7736164595,6.483840166717,9.248728916921,3.003584824587,21.011248318458,12.967680333433,7.398251391979,7.562846803378,11.990793367304,52.3176409532,1.634761931261,84.942184392106,2025-01-01 00:00:00,12-31,HKD,0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,3.156100521298,34.978373313672,22.620027789429,2.4816,2.4788,38294491000,20.8742638117,7006033000,52.622220828021,2699159000,145.5086568766,18.295145899707,2.465424886701,5.602334130778,7.251758484,11.440148469885,22.776470068689,5.185488242977,54.972047537272,11.440148469885,6.645128756372,11.659170856749,9.023005423939,52.9934270206,1.672951606387,78.548500735245,2024-01-01 00:00:00,12-31,HKD,0
02382.HK,02382,舜宇光学科技,10080016,2024-06-30 00:00:00,002,1.888804287303,17.227020743789,21.1454242802,0.9904,0.9901,18860225000,32.0876782786,3246479000,52.374790433439,1079006000,147.0738286384,17.213363043124,1.59088359861,14.461734966926,5.8935033914,4.735278035526,24.30901519048,2.183420176752,58.421251301829,9.470556071052,6.004570710571,10.985255877908,10.964195814207,51.295855763,1.756011810162,76.568907421645,2024-01-01 00:00:00,12-31,HKD,0
02382.HK,02382,舜宇光学科技,10080016,2023-12-31 00:00:00,001,2.429371097877,28.885839645477,20.481246519928,1.0072,1.0063,31681261000,-4.5657103847,4590441000,-30.500483194769,1099415000,-54.339362637,14.489451666712,1.002407239845,3.860230805751,3.6309255493,4.967832660519,-11.945591055913,2.356772300959,-26.045250755917,4.967832660519,3.137037296165,15.302399656003,8.410249200624,54.5070373475,1.650987420226,77.644664252407,2023-01-01 00:00:00,12-31,HKD,0
02382.HK,02382,舜宇光学科技,10080016,2023-06-30 00:00:00,002,0.960607456063,13.017795419008,19.855373304903,0.3999,0.3995,14278565000,-15.8686643857,2130588000,-39.513138492584,436714000,-67.8391345492,14.921583506466,1.355340663356,-8.112769560637,3.2173471214,2.004371887417,-21.072076187166,0.973867351588,-38.258681383307,4.008743774834,2.552223051183,22.383911494975,7.379186914091,52.4726638017,1.756959822476,74.326622620183,2023-01-01 00:00:00,12-31,HKD,0
02382.HK,02382,舜宇光学科技,10080016,2022-12-31 00:00:00,001,6.725895079335,30.26571188377,19.947288320256,2.2026,2.2015,33196937000,-11.4674026502,6604997000,-24.39501966131,2407796000,-51.7282954896,19.896404900247,2.195192285689,-4.152527378816,7.4529406132,11.350445249272,-9.671450093214,5.888822332384,-34.176049698013,11.350445249272,7.25059891769,8.870455351588,22.222821340415,48.4146009766,1.584823350321,92.88153621166,2022-01-01 00:00:00,12-31,HKD,0
02382.HK,02382,舜宇光学科技,10080016,2022-06-30 00:00:00,002,1.432342097554,15.473182880025,18.982261495383,1.2413,1.2403,16971756000,-14.4285639664,3522398000,-28.788639978295,1357905000,-49.4823062234,20.754469955849,3.334944614563,-7.631787329774,8.1243390489,6.564693598925,-16.300017639262,3.523421788089,-26.665439723721,13.12938719785,8.538396784987,18.109291110372,9.256932517767,44.8957542666,1.827460983189,87.036825871061,2022-01-01 00:00:00,12-31,HKD,0
02382.HK,02382,舜宇光学科技,10080016,2021-12-31 00:00:00,001,6.362733198541,34.185952733542,18.805244551358,4.5652,4.5593,37496852000,-1.3286567084,8736193000,0.440544385841,4988007000,2.3854461797,23.298470495603,4.54757566146,-3.783748470322,13.4835719009,26.827846146498,-12.357640743086,13.442596950855,-14.15895165304,26.827846146498,15.611894237327,10.274775696478,18.612127759418,46.1098874912,2.357302932078,66.411655649942,2021-01-01 00:00:00,12-31,HKD,0
02382.HK,02382,舜宇光学科技,10080016,2021-06-30 00:00:00,002,2.184338474086,18.082182089305,16.695059247091,2.4592,2.4554,19833436000,5.1403728036,4946399000,34.549357215505,2687979000,53.6845120479,24.939697791144,5.297670227744,2.551639377803,13.6468083493,15.414909023083,14.602739174798,7.455942090399,19.273294247108,30.829818046165,16.514855883256,16.176774363382,12.080060157,49.4810157053,2.072385631949,70.525413790355,2021-01-01 00:00:00,12-31,HKD,0
