,豪威集团_收盘,上证指数_收盘,格科微_收盘,思特威_收盘
豪威集团_收盘,1.0,0.5331920857701111,0.5900032279880268,0.6069206226346839
上证指数_收盘,0.5331920857701111,1.0,0.5627969713313805,0.4664472833673827
格科微_收盘,0.5900032279880268,0.5627969713313805,1.0,0.5464720707091563
思特威_收盘,0.6069206226346839,0.4664472833673827,0.5464720707091563,1.0
