,3个月累计收益率(%),3个月夏普比率,3个月年化波动率(%),3个月最大回撤(%),6个月累计收益率(%),6个月夏普比率,6个月年化波动率(%),6个月最大回撤(%),12个月累计收益率(%),12个月夏普比率,12个月年化波动率(%),12个月最大回撤(%),与目标股票相关系数
豪威集团(603501.SH),-9.6,-1.575,28.7,-23.3,2.5,0.201,30.1,-23.3,33.0,0.942,35.9,-27.1,1.0
上证指数(000001.IDX),3.7,1.242,11.7,-5.1,14.9,2.512,11.2,-5.1,17.0,1.224,13.5,-9.7,0.533
格科微(688728.SH),-7.7,-0.841,29.6,-23.3,-1.6,0.036,28.8,-23.3,-3.1,0.031,35.8,-23.3,0.59
思特威(688213.SH),-6.2,-0.586,41.5,-26.4,-2.2,-0.009,39.3,-26.4,29.3,0.671,48.4,-27.5,0.607
