SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004030001,股本,24508986000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004030002,储备,15587955000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004030015,其他权益工具,15232785000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004030999,股东权益,55329726000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004036999,总权益,112892509000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004037999,总权益及非流动负债,260183080000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004039999,总权益及总负债,352714191000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2025-06-30 00:00:00,002,12-31,004060999,非运算项目,40096941000.0,2025-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,226873371000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004001004,无形资产,14960689000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004001005,商誉,1240558000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004001009,递延税项资产,1138019000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004001010,预付款项,5499909000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004001013,联营公司权益,8606139000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004001016,合营公司权益,2384166000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,5091105000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004001030,中长期存款,29706000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,22993512000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004001999,非流动资产合计,288817174000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004002001,存货,1402560000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004002003,应收帐款,31647499000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004002005,预付款按金及其他应收款,8485593000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004002006,应收关联方款项,3833153000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004002007,预缴及应收税项,83769000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,30957000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004002010,现金及等价物,6073616000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004002013,指定以公允价值记账之金融资产(流动),81226000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004002999,流动资产合计,51638373000.0,2024-12-31 00:00:00
