REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ASSET_IMPAIRMENT_LOSS,BASIC_EPS,CONTINUED_NETPROFIT,DILUTED_EPS,FINANCE_EXPENSE,GROSS_PROFIT,HOLDER_PROFIT,INCOME_TAX,INTEREST_INCOME,MANAGE_EXPENSE,MINORITY_INTEREST,NETPROFIT,NON_OPERATING_ITEMS,OPERATE_COST,OPERATE_INCOME,OPERATE_PROFIT,PARENT_TCI,RESEARCH_EXPENSE,SALE_EXPENSE,TOTAL_PROFIT,全面收益总额,其他全面收益,其他全面收益其他项目,其他收入,出售资产之溢利,应占联营公司溢利,重估盈余,非控股权益应占全面收益总额
2018-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2018-01-01 00:00:00,52330000.0,,,,63224000.0,1080180000.0,-2764547000.0,556000.0,326519000.0,1731098000.0,,-2764547000.0,,36793265000.0,75746890000.0,-3027286000.0,-2782480000.0,1519528000.0,593809000.0,-2763991000.0,-2782480000.0,-17933000.0,-17933000.0,28441000.0,,,-239142000.0,
2019-09-30,02618.HK,02618,京东物流,10000173876,004,12-31,2019-01-01 00:00:00,118487000.0,,,,333702000.0,2943469000.0,-996299000.0,32587000.0,299662000.0,1429459000.0,1000.0,-996298000.0,73235000.0,31632343000.0,69151624000.0,-925837000.0,-613240000.0,1242163000.0,643976000.0,-963711000.0,-613239000.0,383059000.0,383059000.0,-198613000.0,,-3834000.0,-236608000.0,1000.0
2019-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2019-01-01 00:00:00,137131000.0,,,,430105000.0,3432214000.0,-2233900000.0,77330000.0,386140000.0,1874391000.0,-3586000.0,-2237486000.0,,46415425000.0,99695278000.0,-2047564000.0,-2191990000.0,1677949000.0,946853000.0,-2160156000.0,-2195576000.0,41910000.0,41910000.0,-527977000.0,,-68627000.0,-315477000.0,-3586000.0
2020-06-30,02618.HK,02618,京东物流,10000173876,002,12-31,2020-01-01 00:00:00,203251000.0,0.17,,0.16,214070000.0,4054355000.0,650456000.0,-3255000.0,127742000.0,950026000.0,-3038000.0,647418000.0,,27488511000.0,63085732000.0,737566000.0,670762000.0,888271000.0,597362000.0,644163000.0,667724000.0,20306000.0,20306000.0,140303000.0,,-7075000.0,-818182000.0,-3038000.0
2020-09-30,02618.HK,02618,京东物流,10000173876,004,12-31,2020-01-01 00:00:00,165318000.0,,,,314882000.0,5418647000.0,-71226000.0,8116000.0,202773000.0,1454077000.0,59512000.0,-11714000.0,-64365000.0,44088570000.0,99014434000.0,120641000.0,-78895000.0,1442335000.0,1087013000.0,-3598000.0,-19383000.0,-7669000.0,-7669000.0,407201000.0,,-12130000.0,-1556464000.0,59512000.0
2020-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2020-01-01 00:00:00,221040000.0,-1.05,,-1.05,454774000.0,6293639000.0,-4133995000.0,-12007000.0,264395000.0,1678921000.0,96706000.0,-4037289000.0,-11978829000.0,67081077000.0,146749432000.0,-3794848000.0,-4000957000.0,2054325000.0,1815760000.0,-4049296000.0,-3904251000.0,133038000.0,133038000.0,542668000.0,,-64069000.0,-4861109000.0,96706000.0
2021-06-30,02618.HK,02618,京东物流,10000173876,002,12-31,2021-01-01 00:00:00,28584000.0,-3.62,-15213960000.0,-3.62,352597000.0,1769541000.0,-15360404000.0,52809000.0,66492000.0,1513330000.0,146444000.0,-15213960000.0,-46702909000.0,46702909000.0,96944900000.0,-14858448000.0,-14684877000.0,1379029000.0,1380429000.0,-15161151000.0,-14538433000.0,675527000.0,675527000.0,517186000.0,,-16598000.0,-12843803000.0,146444000.0
2021-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2021-01-01 00:00:00,155863000.0,-3.19,-15660732000.0,-3.19,718853000.0,5784076000.0,-15841960000.0,60374000.0,233628000.0,2867201000.0,181228000.0,-15660732000.0,-98909326000.0,98909326000.0,209386804000.0,-15078364000.0,-15456764000.0,2813342000.0,3078384000.0,-15600358000.0,-15275536000.0,385196000.0,385196000.0,896153000.0,,-36769000.0,-12843803000.0,181228000.0
2022-06-30,02618.HK,02618,京东物流,10000173876,002,12-31,2022-01-01 00:00:00,88887000.0,-0.25,-1433499000.0,-0.25,408404000.0,3634597000.0,-1462059000.0,110726000.0,161978000.0,1303415000.0,28560000.0,-1433499000.0,-54988579000.0,54988579000.0,117246352000.0,-1062027000.0,-196983000.0,1438016000.0,1902797000.0,-1322773000.0,-168423000.0,1265076000.0,1265076000.0,36491000.0,,-14320000.0,,28560000.0
2022-12-31,02618.HK,02618,京东物流,10000173876,001,12-31,2022-01-01 00:00:00,290622000.0,-0.23,-1090294000.0,-0.23,893323000.0,10099637000.0,-1396834000.0,276114000.0,616846000.0,3157073000.0,306540000.0,-1090294000.0,-127302371000.0,127302371000.0,274804016000.0,-524667000.0,1032123000.0,3122863000.0,4062150000.0,-814180000.0,1310183000.0,2400477000.0,2400477000.0,8404000.0,,-13036000.0,,278060000.0
