代码,stockCode,公告标题,公告时间,公告链接,url,announcementId,orgId,adjunctUrl,adjunctType,stockName
01810.HK,01810.HK,翌日披露报表,2025-12-24 15:04:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224895232&announcementTime=2025-12-24%2015%3A04,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224895232&announcementTime=2025-12-24%2015%3A04,1224895232,9900037222,finalpage/2025-12-24/1224895232.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-12-23 18:48:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224894402&announcementTime=2025-12-23%2018%3A48,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224894402&announcementTime=2025-12-23%2018%3A48,1224894402,9900037222,finalpage/2025-12-23/1224894402.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-12-22 18:26:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224891723&announcementTime=2025-12-22%2018%3A26,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224891723&announcementTime=2025-12-22%2018%3A26,1224891723,9900037222,finalpage/2025-12-22/1224891723.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-12-19 23:59:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224889323&announcementTime=2025-12-19%2023%3A59,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224889323&announcementTime=2025-12-19%2023%3A59,1224889323,9900037222,finalpage/2025-12-19/1224889323.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-12-18 18:04:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224885624&announcementTime=2025-12-18%2018%3A04,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224885624&announcementTime=2025-12-18%2018%3A04,1224885624,9900037222,finalpage/2025-12-18/1224885624.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-12-16 18:14:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224881755&announcementTime=2025-12-16%2018%3A14,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224881755&announcementTime=2025-12-16%2018%3A14,1224881755,9900037222,finalpage/2025-12-16/1224881755.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-12-15 18:38:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224878886&announcementTime=2025-12-15%2018%3A38,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224878886&announcementTime=2025-12-15%2018%3A38,1224878886,9900037222,finalpage/2025-12-15/1224878886.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-12-11 18:30:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224869720&announcementTime=2025-12-11%2018%3A30,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224869720&announcementTime=2025-12-11%2018%3A30,1224869720,9900037222,finalpage/2025-12-11/1224869720.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-12-10 17:50:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224865841&announcementTime=2025-12-10%2017%3A50,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224865841&announcementTime=2025-12-10%2017%3A50,1224865841,9900037222,finalpage/2025-12-10/1224865841.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-12-09 17:56:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224861851&announcementTime=2025-12-09%2017%3A56,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224861851&announcementTime=2025-12-09%2017%3A56,1224861851,9900037222,finalpage/2025-12-09/1224861851.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-12-08 18:02:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224858503&announcementTime=2025-12-08%2018%3A02,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224858503&announcementTime=2025-12-08%2018%3A02,1224858503,9900037222,finalpage/2025-12-08/1224858503.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-12-04 18:24:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224851495&announcementTime=2025-12-04%2018%3A24,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224851495&announcementTime=2025-12-04%2018%3A24,1224851495,9900037222,finalpage/2025-12-04/1224851495.PDF,PDF,小米集团-W
01810.HK,01810.HK,二零二五年十一月三十日止之股份发行人的证券变动月报表,2025-12-04 18:14:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224851413&announcementTime=2025-12-04%2018%3A14,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224851413&announcementTime=2025-12-04%2018%3A14,1224851413,9900037222,finalpage/2025-12-04/1224851413.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-12-03 18:04:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224847857&announcementTime=2025-12-03%2018%3A04,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224847857&announcementTime=2025-12-03%2018%3A04,1224847857,9900037222,finalpage/2025-12-03/1224847857.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-12-02 18:20:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224844653&announcementTime=2025-12-02%2018%3A20,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224844653&announcementTime=2025-12-02%2018%3A20,1224844653,9900037222,finalpage/2025-12-02/1224844653.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-12-01 18:28:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224841032&announcementTime=2025-12-01%2018%3A28,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224841032&announcementTime=2025-12-01%2018%3A28,1224841032,9900037222,finalpage/2025-12-01/1224841032.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-11-28 18:26:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224835334&announcementTime=2025-11-28%2018%3A26,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224835334&announcementTime=2025-11-28%2018%3A26,1224835334,9900037222,finalpage/2025-11-28/1224835334.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-11-26 18:26:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224828757&announcementTime=2025-11-26%2018%3A26,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224828757&announcementTime=2025-11-26%2018%3A26,1224828757,9900037222,finalpage/2025-11-26/1224828757.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-11-25 23:59:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224827130&announcementTime=2025-11-25%2023%3A59,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224827130&announcementTime=2025-11-25%2023%3A59,1224827130,9900037222,finalpage/2025-11-25/1224827130.PDF,PDF,小米集团-W
