REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,ISSUE_BOND,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_OUTFLOW_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:应占附属公司溢利,减:投资收益,减:重估盈余,加:减值及拨备,加:利息支出,发行相关费用,吸收投资所得,处置无形资产及其他资产,存款减少(增加),存货(增加)减少,已付利息(经营),已付利息(融资),已收利息(投资),已收利息(经营),已收股息(投资),已收股息(经营),应付关联方款项增加(减少),应付帐款及应计费用增加(减少),应收关联方款项(增加)减少,应收关联方款项(增加)减少(投资),应收帐款减少,应收票据(增加)减少,影响现金净额其他项目,投资支付现金,收回投资所得现金,期间变动其他项目,汇率影响,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,赎回债券,递延收入(增加)减少,除税前溢利(业务利润),非运算项目,预付款项、按金及其他应收款项减少(增加),预收账款、按金及其他应付款增加(减少)
2017-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2017-01-01 00:00:00,,1247254000.0,3502435000.0,,407407000.0,1058124000.0,17664000.0,3692044000.0,343389000.0,76250000.0,-855366000.0,,-1698065000.0,-1627046000.0,3732518000.0,,46517000.0,4196813000.0,14233000.0,,3766134000.0,464295000.0,789669000.0,692432000.0,110000000.0,,1924000.0,65940000.0,409076000.0,311471000.0,76861000.0,,77945000.0,,,,-232658000.0,-23686000.0,,77945000.0,65940000.0,,682178000.0,,,101873000.0,,3500000.0,-55463000.0,,,,266084000.0,-217798000.0,,,351879000.0,572747000.0,,40309000.0,4195839000.0,,-91185000.0,458831000.0
2018-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2018-01-01 00:00:00,,,3692044000.0,,1211585000.0,,,5038272000.0,,,,,-1338792000.0,491836000.0,2058541000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134643000.0,,,,,,,,,,
2018-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2018-01-01 00:00:00,,1752287000.0,3692044000.0,604419000.0,2300520000.0,1549979000.0,17161000.0,6235029000.0,1210224000.0,27561000.0,-18654000.0,,-2177744000.0,-616100000.0,5094364000.0,,-1058548000.0,5932911000.0,,,5689612000.0,838547000.0,93819000.0,398484000.0,143000000.0,,6595317000.0,145868000.0,59910000.0,412321000.0,-44853000.0,65606000.0,153264000.0,,,,55083000.0,-102160000.0,,153264000.0,145868000.0,,12156000.0,,,875983000.0,,-3500000.0,,,,1708970000.0,1368947000.0,242465000.0,,-5506000.0,,142760000.0,,,11429081000.0,,-902860000.0,377842000.0
2019-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2019-01-01 00:00:00,,,6235029000.0,,60593000.0,,,6328584000.0,,,,,-1236641000.0,-2210178000.0,3507412000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32962000.0,,,,,,,,,,
2019-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2019-01-01 00:00:00,,2020859000.0,6235029000.0,32050000.0,4301127000.0,1449485000.0,63094000.0,10631210000.0,1445611000.0,28339000.0,-139460000.0,,2800837000.0,-3824344000.0,5324634000.0,,391666000.0,6426728000.0,,,6709539000.0,1102094000.0,3196025000.0,8394993000.0,170000000.0,33959000.0,59147000.0,245359000.0,111385000.0,311397000.0,-10644000.0,60030000.0,229950000.0,,,,-838987000.0,-449437000.0,,339602000.0,246360000.0,,3888000.0,,,,,62061000.0,,,,2055817000.0,914268000.0,95054000.0,,,,284478000.0,,-52289000.0,5690592000.0,,-7105000.0,226020000.0
2020-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2020-01-01 00:00:00,,,10631210000.0,,5132394000.0,,,15666602000.0,,,,,5110430000.0,-1533585000.0,1555549000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-97002000.0,,,,,,,,31333204000.0,,
2020-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2020-01-01 00:00:00,,2714579000.0,10631210000.0,195373000.0,-287031000.0,1424290000.0,101148000.0,10624194000.0,1654836000.0,18171000.0,4271022000.0,5611863000.0,2233188000.0,-7845555000.0,5325336000.0,-2520219000.0,4196751000.0,6284512000.0,-502196000.0,,6023182000.0,959176000.0,1760048000.0,1537764000.0,,49303000.0,-593000.0,194003000.0,-3233000.0,326279000.0,29251000.0,79837000.0,323368000.0,,,,-2204890000.0,-221454000.0,,215307000.0,194003000.0,,8644000.0,,,,48567000.0,,,,,4535191000.0,304739000.0,280015000.0,,,,363989000.0,,127549000.0,5013044000.0,21248388000.0,-410524000.0,717192000.0
2021-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2021-01-01 00:00:00,,315038000.0,10624194000.0,,-2482102000.0,585607000.0,,8028326000.0,,-188335000.0,-1152420000.0,,-761689000.0,-4055967000.0,2335554000.0,,757160000.0,,,,,,805604000.0,547288000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560780000.0,,-113766000.0,,,,,,,,16056652000.0,,
2021-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2021-01-01 00:00:00,,1351396000.0,10624194000.0,332930000.0,-374946000.0,1714131000.0,132195000.0,9599537000.0,992556000.0,140164000.0,492010000.0,,-3225263000.0,-2515977000.0,5366294000.0,2850317000.0,958703000.0,6093010000.0,37690000.0,,6432145000.0,726716000.0,2566183000.0,1406044000.0,,80708000.0,-4278000.0,162057000.0,13630790000.0,397833000.0,1365000.0,708376000.0,308617000.0,,,,-2356385000.0,-57475000.0,,179623000.0,162057000.0,,4018070000.0,,101532000.0,,-307041000.0,,-1308211000.0,-257843000.0,,2412409000.0,274241000.0,-649711000.0,,,,152922000.0,260631000.0,66249000.0,18572673000.0,19199074000.0,409488000.0,1014166000.0
2022-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2022-01-01 00:00:00,,91896000.0,9599537000.0,809316000.0,-3501245000.0,626972000.0,,6065442000.0,,-157458000.0,612939000.0,,-1460527000.0,-5989659000.0,3948941000.0,-2040718000.0,,,,,,,6578135000.0,7719271000.0,,,,,,,,,,,,,-2603575000.0,,,,,,,,,,,,,,,,-3372051000.0,-32850000.0,,,,,1542993000.0,,,12130884000.0,,
2022-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2022-01-01 00:00:00,,2965194000.0,9599537000.0,867613000.0,-992054000.0,1243325000.0,27892000.0,8654805000.0,1046984000.0,22950000.0,-69674000.0,,-3186390000.0,-4070819000.0,6265155000.0,2194336000.0,,7157240000.0,39314000.0,,7352835000.0,892085000.0,7031756000.0,9752976000.0,-146168000.0,86134000.0,3465000.0,201441000.0,-152976000.0,313345000.0,-390823000.0,23327000.0,439058000.0,,,,-3822137000.0,-391103000.0,,339524000.0,201441000.0,,893448000.0,,144917000.0,,-48408000.0,,-421655000.0,,,-436202000.0,-45563000.0,47322000.0,,,,302935000.0,1672095000.0,74620000.0,5778604000.0,23088214000.0,-519896000.0,965930000.0
2023-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2023-01-01 00:00:00,,546045000.0,8654805000.0,235700000.0,-5445668000.0,753908000.0,,3293964000.0,,-317281000.0,-191989000.0,,-4042087000.0,-4074699000.0,2671118000.0,-1403581000.0,-458000.0,,,,,,10203045000.0,10926260000.0,,,,,,,,,,,,,-2744813000.0,,,,,,,,,,,,,,,384447000.0,,84827000.0,,,,,3666276000.0,,,6587928000.0,,
2023-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2023-01-01 00:00:00,,3854508000.0,8654805000.0,396393000.0,-1240231000.0,1067823000.0,100993000.0,7505098000.0,1074284000.0,-63521000.0,-1813706000.0,,-6548990000.0,-756975000.0,6065734000.0,5308759000.0,1156519000.0,6812302000.0,97279000.0,,7242816000.0,746568000.0,10283992000.0,12193884000.0,413813000.0,41691000.0,294569000.0,384471000.0,-492520000.0,237999000.0,-63388000.0,-12260000.0,511065000.0,,,,300521000.0,135323000.0,,480825000.0,384470000.0,,492914000.0,,-246449000.0,284301000.0,176619000.0,,-816029000.0,,,-1674580000.0,320560000.0,90524000.0,,,,406778000.0,3621944000.0,-142320000.0,5933579000.0,20943775000.0,-480790000.0,658831000.0
2024-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2024-01-01 00:00:00,,889222000.0,7505098000.0,361551000.0,-3061890000.0,407495000.0,,4469473000.0,,-164971000.0,137267000.0,,-4099463000.0,-2040917000.0,3078490000.0,1037573000.0,,,,,,,9396105000.0,6712386000.0,1409679000.0,,,,,,,,,,,,-3798109000.0,,,,,,751667000.0,,,,,,,,,133926000.0,,26265000.0,,,,,,,,4469473000.0,,
